doy,time,time.since.app,x,soil.temp,air.temp,rad,rh,cum.rad
132,930,,132.3875,14.98533333,13.93,0.31,76.9,0.558
132,1000,,132.4166667,15.93333333,14.25,0.455,71.5,1.377
132,1030,0,132.4291667,17.908,15.34,0.625,66.07,2.502
132,1100,0.5,132.4583333,18.64266667,15.83,0.623,60.88,3.6234
132,1130,1,132.4708333,19.33266667,16.36,0.768,55.92,5.0058
132,1200,1.5,132.5,19.94466667,17.1,0.799,53.12,6.444
132,1230,2,132.5125,20.23,17.58,0.823,47.91,7.9254
132,1300,2.5,132.5416667,20.31066667,17.96,0.834,39.92,9.4266
132,1330,3,132.5541667,20.628,18.2,0.832,36.43,10.9242
132,1400,3.5,132.5833333,20.64066667,18.36,0.823,35.01,12.4056
132,1430,4,132.5958333,20.488,18.82,0.807,31.71,13.8582
132,1500,4.5,132.625,20.33933333,18.95,0.751,29.13,15.21
132,1530,5,132.6375,19.77666667,18.83,0.691,29.3,16.4538
132,1600,5.5,132.6666667,19.384,18.72,0.631,29.43,17.5896
132,1630,6,132.6791667,18.91,18.66,0.579,28.21,18.6318
132,1700,6.5,132.7083333,18.50733333,18.52,0.503,28.72,19.5372
132,1730,7,132.7208333,17.996,18.37,0.413,28.95,20.2806
132,1800,7.5,132.75,17.268,18.15,0.375,28.61,20.9556
132,1830,8,132.7625,16.53533333,17.59,0.287,29.08,21.4722
132,1900,8.5,132.7916667,15.662,17.08,0.189,29.44,21.8124
132,1930,9,132.8041667,14.732,16.22,0.115,31.52,22.0194
132,2000,9.5,132.8333333,13.43,14.23,0.033,36.37,22.0788
132,2030,10,132.8458333,12.12933333,12.75,0,39.05,22.0788
132,2100,10.5,132.875,11.09266667,11.56,0,41.62,22.0788
132,2130,11,132.8875,10.01533333,9.72,0,52.81,22.0788
132,2200,11.5,132.9166667,9.222666667,7.65,0,66.05,22.0788
132,2230,12,132.9291667,8.579333333,6.525,0,74.2,22.0788
132,2300,12.5,132.9583333,8.069333333,5.891,0,77.3,22.0788
132,2330,13,132.9708333,7.6194,6.496,0,69.17,22.0788
133,0,13.5,133,7.1552,5.574,0,76.5,22.0788
133,30,14,133.0125,6.745666667,4.853,0,80.1,22.0788
133,100,14.5,133.0416667,6.448666667,4.308,0,85.7,22.0788
133,130,15,133.0541667,6.067466667,3.972,0,85.6,22.0788
133,200,15.5,133.0833333,5.787066667,3.959,0,85,22.0788
133,230,16,133.0958333,5.540133333,3.894,0,85.3,22.0788
133,300,16.5,133.125,5.401266667,4.007,0,85,22.0788
133,330,17,133.1375,5.078866667,3.29,0,87.8,22.0788
133,400,17.5,133.1666667,4.774533333,2.749,0,90.7,22.0788
133,430,18,133.1791667,4.545733333,2.601,0,90.1,22.0788
133,500,18.5,133.2083333,4.316933333,2.44,0,90.9,22.0788
133,530,19,133.2208333,4.2328,2.54,0,91.1,22.0788
133,600,19.5,133.25,4.3302,2.841,0.025,89.5,22.1238
133,630,20,133.2625,4.822533333,4.255,0.075,84.4,22.2588
133,700,20.5,133.2916667,5.786066667,6.567,0.147,75.2,22.5234
133,730,21,133.3041667,6.908933333,8.53,0.212,66.03,22.905
133,800,21.5,133.3333333,8.292,10.3,0.297,59.78,23.4396
133,830,22,133.3458333,10.39266667,12.3,0.366,46.57,24.0984
133,900,22.5,133.375,11.724,12.84,0.38,42.01,24.7824
133,930,23,133.3875,12.68466667,13.59,0.435,40.17,25.5654
133,1000,23.5,133.4166667,14.10866667,14.6,0.602,32.71,26.649
133,1030,24,133.4291667,15.27533333,16.57,0.641,31.31,27.8028
133,1100,24.5,133.4583333,16.49333333,16.95,0.68,29.65,29.0268
133,1130,25,133.4708333,17.11333333,17.72,0.717,28.89,30.3174
133,1200,25.5,133.5,18.446,18.04,0.758,27.53,31.6818
133,1230,26,133.5125,19.538,18.65,0.73,26.98,32.9958
133,1300,26.5,133.5416667,19.726,18.84,0.671,27.04,34.2036
133,1330,27,133.5541667,21.53533333,20.76,0.91,25.09,35.8416
133,1400,27.5,133.5833333,22.734,21.31,0.797,24.65,37.2762
133,1430,28,133.5958333,21.12466667,20.21,0.487,26.19,38.1528
133,1500,28.5,133.625,19.95733333,19.55,0.362,26.31,38.8044
133,1530,29,133.6375,17.96866667,18.13,0.208,31.82,39.1788
133,1600,29.5,133.6666667,16.70666667,17.3,0.256,33.38,39.6396
133,1630,30,133.6791667,16.31733333,17.24,0.203,33.59,40.005
133,1700,30.5,133.7083333,15.61133333,16.6,0.205,41.8,40.374
133,1730,31,133.7208333,15,14.95,0.214,49.23,40.7592
133,1800,31.5,133.75,13.51733333,12.36,0.089,51.22,40.9194
133,1830,32,133.7625,12.14466667,11.26,0.02,51.33,40.9554
133,1900,32.5,133.7916667,11.162,10.55,0,52.22,40.9554
133,1930,33,133.8041667,10.57466667,10.43,0,49.99,40.9554
133,2000,33.5,133.8333333,10.13266667,10.31,0,49.63,40.9554
133,2030,34,133.8458333,9.772,10.18,0,48.78,40.9554
133,2100,34.5,133.875,9.429333333,9.8,0,52.32,40.9554
133,2130,35,133.8875,8.987333333,8.66,0,63.58,40.9554
133,2200,35.5,133.9166667,8.704666667,8.43,0,63.3,40.9554
133,2230,36,133.9291667,8.505333333,8.46,0,62.07,40.9554
133,2300,36.5,133.9583333,8.366666667,8.67,0,57.42,40.9554
133,2330,37,133.9708333,8.014,8.47,0,47.46,40.9554
134,0,37.5,134,7.659333333,8.19,0,44.49,40.9554
134,30,38,134.0125,7.436666667,8.02,0,47.3,40.9554
134,100,38.5,134.0416667,7.261733333,7.89,0,46.29,40.9554
134,130,39,134.0541667,7.088266667,7.81,0,44.74,40.9554
134,200,39.5,134.0833333,6.949733333,7.74,0,44.28,40.9554
134,230,40,134.0958333,6.844266667,7.7,0,45.03,40.9554
134,300,40.5,134.125,6.770466667,7.7,0,46.07,40.9554
134,330,41,134.1375,6.666066667,7.51,0,47.66,40.9554
134,400,41.5,134.1666667,6.5328,7.34,0,48.02,40.9554
134,430,42,134.1791667,6.4628,7.31,0,48.7,40.9554
134,500,42.5,134.2083333,6.392733333,7.15,0,49.16,40.9554
134,530,43,134.2208333,6.294,6.837,0,53.15,40.9554
134,600,43.5,134.25,6.2314,6.541,0.002,55.52,40.959
134,630,44,134.2625,6.078866667,6.16,0,60.88,40.959
134,700,44.5,134.2916667,5.934133333,5.693,0.004,67.67,40.9662
134,730,45,134.3041667,5.9628,5.454,0.056,74.4,41.067
134,800,45.5,134.3333333,6.106333333,5.113,0.069,83.3,41.1912
134,830,46,134.3458333,6.3022,5.236,0.088,83.9,41.3496
134,900,46.5,134.375,6.266933333,5.169,0.058,85.1,41.454
134,930,47,134.3875,6.4822,5.274,0.129,86,41.6862
134,1000,47.5,134.4166667,7.2504,5.893,0.191,85.2,42.03
134,1030,48,134.4291667,6.825866667,5.273,0.079,86.4,42.1722
134,1100,48.5,134.4583333,6.619733333,5.216,0.105,88.5,42.3612
134,1130,49,134.4708333,7.430533333,6.069,0.202,89.1,42.7248
134,1200,49.5,134.5,7.652666667,6.332,0.142,87.4,42.9804
134,1230,50,134.5125,7.816,6.154,0.18,88.8,43.3044
134,1300,50.5,134.5416667,7.954666667,6.536,0.194,89.1,43.6536
134,1330,51,134.5541667,8.742,7.5,0.3,86.2,44.1936
134,1400,51.5,134.5833333,10.13733333,8.45,0.418,82.3,44.946
134,1430,52,134.5958333,9.858666667,7.84,0.197,81.7,45.3006
134,1500,52.5,134.625,8.746666667,6.768,0.15,85,45.5706
134,1530,53,134.6375,8.819333333,7.01,0.235,84.1,45.9936
134,1600,53.5,134.6666667,8.587878788,7.01,0.122,84.3,46.2132
134,1630,54,134.6791667,7.839242424,6.395,0.03,86.2,46.2672
134,1700,54.5,134.7083333,7.137833333,5.361,0.031,91.4,46.323
134,1730,55,134.7208333,6.860833333,5.456,0.044,91,46.4022
134,1800,55.5,134.75,6.814454545,5.798,0.053,87.5,46.4976
134,1830,56,134.7625,7.092393939,6.259,0.113,84.4,46.701
134,1900,56.5,134.7916667,7.332393939,6.627,0.119,82,46.9152
134,1930,57,134.8041667,6.847863636,6.109,0.014,83.8,46.9404
134,2000,57.5,134.8333333,6.382833333,5.982,0.002,81.4,46.944
134,2030,58,134.8458333,6.064409091,5.854,0,80.7,46.944
134,2100,58.5,134.875,5.849015152,5.71,0,81.6,46.944
134,2130,59,134.8875,5.750893939,5.697,0,83,46.944
134,2200,59.5,134.9166667,5.754151515,5.752,0,84,46.944
134,2230,60,134.9291667,5.669484848,5.633,0,84.4,46.944
134,2300,60.5,134.9583333,5.674787879,5.745,0,84.2,46.944
134,2330,61,134.9708333,5.664848485,5.779,0,84.3,46.944
135,0,61.5,135,5.645363636,5.791,0,83.6,46.944
135,30,62,135.0125,5.594848485,5.687,0,84.7,46.944
135,100,62.5,135.0416667,5.615015152,5.777,0,84.6,46.944
135,130,63,135.0541667,5.667348485,5.867,0,84.9,46.944
135,200,63.5,135.0833333,5.735409091,5.989,0,86,46.944
135,230,64,135.0958333,5.698575758,5.509,0,92.6,46.944
135,300,64.5,135.125,5.684530303,5.31,0,93.7,46.944
135,330,65,135.1375,5.651530303,5.26,0,94,46.944
135,400,65.5,135.1666667,5.663575758,5.338,0,93.5,46.944
135,430,66,135.1791667,5.644893939,5.338,0,93.4,46.944
135,500,66.5,135.2083333,5.645787879,5.404,0,93,46.944
135,530,67,135.2208333,5.638469697,5.469,0,92.6,46.944
135,600,67.5,135.25,5.71780303,5.668,0,92.2,46.944
135,630,68,135.2625,5.938439394,5.748,0.018,92.8,46.9764
135,700,68.5,135.2916667,6.268272727,6.146,0.065,92.8,47.0934
135,730,69,135.3041667,6.804590909,6.854,0.14,92,47.3454
135,800,69.5,135.3333333,7.816666667,8,0.231,89.6,47.7612
135,830,70,135.3458333,9.333333333,9.58,0.367,85.7,48.4218
135,900,70.5,135.375,10.54621212,10.83,0.376,83.9,49.0986
135,930,71,135.3875,12.19666667,12.5,0.492,80.9,49.9842
135,1000,71.5,135.4166667,13.66727273,13.25,0.553,80.4,50.9796
135,1030,72,135.4291667,15.12333333,14.72,0.614,77.6,52.0848
135,1100,72.5,135.4583333,16.10969697,15.92,0.563,75.6,53.0982
135,1130,73,135.4708333,17.24909091,16.48,0.658,75.5,54.2826
135,1200,73.5,135.5,18.33833333,17.57,0.709,72.7,55.5588
135,1230,74,135.5125,19.30818182,18.7,0.732,70.9,56.8764
135,1300,74.5,135.5416667,20.57287879,20.37,0.754,67.11,58.2336
135,1330,75,135.5541667,21.4930303,21.52,0.776,63.06,59.6304
135,1400,75.5,135.5833333,22.50121212,22.35,0.721,62.94,60.9282
135,1430,76,135.5958333,22.45136364,23.47,0.657,61.48,62.1108
135,1500,76.5,135.625,22.54,23.8,0.511,61.55,63.0306
135,1530,77,135.6375,22.33227273,24.72,0.55,61.38,64.0206
135,1600,77.5,135.6666667,22.94075758,25.72,0.56,59.03,65.0286
135,1630,78,135.6791667,23.19924242,26.45,0.474,59.12,65.8818
135,1700,78.5,135.7083333,23.13575758,26.84,0.399,58.08,66.6
135,1730,79,135.7208333,22.9130303,26.97,0.373,58.46,67.2714
135,1800,79.5,135.75,22.52484848,26.55,0.289,60.1,67.7916
135,1830,80,135.7625,21.39424242,24.5,0.177,64.22,68.1102
135,1900,80.5,135.7916667,20.43181818,23.31,0.121,65.77,68.328
135,1930,81,135.8041667,19.20530303,21.23,0.016,69.85,68.3568
135,2000,81.5,135.8333333,17.95424242,19.27,0,71.6,68.3568
135,2030,82,135.8458333,16.74575758,17.04,0,75.7,68.3568
135,2100,82.5,135.875,15.31454545,14.57,0,78.6,68.3568
135,2130,83,135.8875,14.3680303,13.48,0,82,68.3568
135,2200,83.5,135.9166667,13.59666667,12.63,0,82.8,68.3568
135,2230,84,135.9291667,12.94590909,11.87,0,84.2,68.3568
135,2300,84.5,135.9583333,12.42484848,11.3,0,85.6,68.3568
135,2330,85,135.9708333,12.05681818,11.03,0,86.4,68.3568
136,0,85.5,136,11.77333333,10.97,0,86.7,68.3568
136,30,86,136.0125,11.58606061,10.91,0,87.2,68.3568
136,100,86.5,136.0416667,11.49863636,11.01,0,87.6,68.3568
136,130,87,136.0541667,11.36727273,10.69,0,89.3,68.3568
136,200,87.5,136.0833333,11.13484848,10.3,0,91.2,68.3568
136,230,88,136.0958333,10.96378788,10.16,0,91.2,68.3568
136,300,88.5,136.125,10.79,9.95,0,91.8,68.3568
136,330,89,136.1375,10.63833333,10.02,0,92,68.3568
136,400,89.5,136.1666667,10.55348485,10.07,0,91.5,68.3568
136,430,90,136.1791667,10.57166667,10.21,0,91.1,68.3568
136,500,90.5,136.2083333,10.585,10.33,0,91.3,68.3568
136,530,91,136.2208333,10.65060606,10.54,0,90.7,68.3568
136,600,91.5,136.25,11.02439394,11.33,0.009,89.8,68.373
136,630,92,136.2625,12.09651515,13.82,0.051,91.1,68.4648
136,700,92.5,136.2916667,14.64560606,19.72,0.073,78.6,68.5962
136,730,93,136.3041667,15.92969697,20.67,0.099,76,68.7744
136,800,93.5,136.3333333,17.25606061,22.34,0.146,70.9,69.0372
136,830,94,136.3458333,18.01984848,22.78,0.16,70.1,69.3252
136,900,94.5,136.375,18.77818182,22.99,0.205,70,69.6942
136,930,95,136.3875,19.15772727,22.93,0.237,70.8,70.1208
136,1000,95.5,136.4166667,20.18484848,23.45,0.416,69.71,70.8696
136,1030,96,136.4291667,20.86545455,23.67,0.273,68.91,71.361
136,1100,96.5,136.4583333,21.21287879,24.01,0.448,67.53,72.1674
136,1130,97,136.4708333,22.19969697,24.81,0.472,65.05,73.017
136,1200,97.5,136.5,22.39348485,24.89,0.401,63.8,73.7388
136,1230,98,136.5125,21.46893939,24.08,0.191,65.22,74.0826
136,1300,98.5,136.5416667,19.52075758,20.14,0.047,80.8,74.1672
136,1330,99,136.5541667,18.51363636,18.51,0.07,87.7,74.2932
136,1400,99.5,136.5833333,18.78590909,18.97,0.221,88.8,74.691
136,1430,100,136.5958333,20.8530303,21.01,0.426,77.2,75.4578
136,1500,100.5,136.625,21.71651515,21.62,0.53,68.59,76.4118
136,1530,101,136.6375,21.755,21.26,0.446,65.29,77.2146
136,1600,101.5,136.6666667,21.88893939,21.77,0.598,60.63,78.291
136,1630,102,136.6791667,22.02590909,21.93,0.571,57.35,79.3188
136,1700,102.5,136.7083333,21.7130303,21.35,0.479,56.74,80.181
136,1730,103,136.7208333,20.61166667,20.14,0.29,57.84,80.703
136,1800,103.5,136.75,19.36287879,19.25,0.192,58.88,81.0486
136,1830,104,136.7625,18.39090909,18.39,0.119,60.94,81.2628
136,1900,104.5,136.7916667,17.42015152,17.61,0.076,60.33,81.3996
136,1930,105,136.8041667,16.30590909,16.52,0.037,63.28,81.4662
136,2000,105.5,136.8333333,15.30621212,15.25,0.008,64.2,81.4806
136,2030,106,136.8458333,14.45863636,14.28,0,65.62,81.4806
136,2100,106.5,136.875,13.69257576,13.31,0,69.47,81.4806
136,2130,107,136.8875,13.22348485,12.73,0,71.8,81.4806
136,2200,107.5,136.9166667,12.92681818,12.57,0,69.51,81.4806
136,2230,108,136.9291667,12.42757576,12.11,0,67.38,81.4806
136,2300,108.5,136.9583333,11.82575758,11.33,0,71.9,81.4806
136,2330,109,136.9708333,11.22287879,10.95,0,68.28,81.4806
137,0,109.5,137,10.60136364,10.36,0,67.84,81.4806
137,30,110,137.0125,10.14954545,9.95,0,67.71,81.4806
137,100,110.5,137.0416667,9.761515152,9.54,0,68.71,81.4806
137,130,111,137.0541667,9.375454545,9.17,0,69.12,81.4806
137,200,111.5,137.0833333,8.914393939,8.32,0,73,81.4806
137,230,112,137.0958333,8.576515152,7.8,0,76.6,81.4806
137,300,112.5,137.125,8.296818182,7.43,0,78.1,81.4806
137,330,113,137.1375,8.02469697,6.786,0,82,81.4806
137,400,113.5,137.1666667,7.918333333,6.746,0,82.6,81.4806
137,430,114,137.1791667,7.710181818,6.811,0,80.8,81.4806
137,500,114.5,137.2083333,7.480939394,6.798,0,78.1,81.4806
137,530,115,137.2208333,7.28469697,6.785,0,76,81.4806
137,600,115.5,137.25,7.209636364,6.826,0.021,74.6,81.5184
137,630,116,137.2625,7.328984848,7.04,0.082,72.5,81.666
137,700,116.5,137.2916667,7.534242424,7.28,0.099,71.3,81.8442
137,730,117,137.3041667,7.888484848,7.71,0.159,70.7,82.1304
137,800,117.5,137.3333333,9.150151515,9.18,0.337,66.17,82.737
137,830,118,137.3458333,10.00878788,9.77,0.332,64.43,83.3346
137,900,118.5,137.375,11.3269697,10.97,0.498,62.03,84.231
137,930,119,137.3875,12.46121212,11.73,0.573,59.6,85.2624
137,1000,119.5,137.4166667,13.43712121,12.17,0.62,58.36,86.3784
137,1030,120,137.4291667,14.42075758,12.56,0.684,58.44,87.6096
