"experiment","shift","t.start","t.end","year","doy.start","precip"
"may 2004",1,2004-05-11 10:30:00,2004-05-11 11:00:00,2004,132,0
"may 2004",2,2004-05-11 11:00:00,2004-05-11 11:30:00,2004,132,0
"may 2004",3,2004-05-11 11:30:00,2004-05-11 12:30:00,2004,132,0
"may 2004",4,2004-05-11 12:30:00,2004-05-11 13:30:00,2004,132,0
"may 2004",5,2004-05-11 13:30:00,2004-05-11 14:30:00,2004,132,0
"may 2004",6,2004-05-11 14:30:00,2004-05-11 16:30:00,2004,132,0
"may 2004",7,2004-05-11 16:30:00,2004-05-11 21:00:00,2004,132,0
"may 2004",8,2004-05-11 21:00:00,2004-05-12 06:06:00,2004,132,0
"may 2004",9,2004-05-12 06:06:00,2004-05-12 11:57:00,2004,133,0
"may 2004",10,2004-05-12 11:57:00,2004-05-12 18:03:00,2004,133,0
"may 2004",11,2004-05-12 18:03:00,2004-05-13 06:03:00,2004,133,0
"may 2004",12,2004-05-13 06:03:00,2004-05-13 11:57:00,2004,134,0.1
"may 2004",13,2004-05-13 11:57:00,2004-05-13 17:57:00,2004,134,0
"may 2004",14,2004-05-13 17:57:00,2004-05-14 06:09:00,2004,134,0
"may 2004",15,2004-05-14 06:09:00,2004-05-14 12:09:00,2004,135,11.5
"may 2004",16,2004-05-14 12:09:00,2004-05-14 17:57:00,2004,135,0
"may 2004",17,2004-05-14 17:57:00,2004-05-15 12:54:00,2004,135,0
"may 2004",18,2004-05-15 12:54:00,2004-05-16 17:40:00,2004,136,3.5
"may 2004",19,2004-05-16 17:40:00,2004-05-17 16:28:00,2004,137,0.2
"may 2004",20,2004-05-17 16:28:00,2004-05-18 14:10:00,2004,138,0
"may 2004",21,2004-05-18 14:10:00,2004-05-18 19:16:00,2004,139,0
"may 2004",22,2004-05-18 19:16:00,2004-05-20 07:38:00,2004,139,0
"may 2005",1,2005-05-09 10:00:00,2005-05-09 10:30:00,2005,129,0
"may 2005",2,2005-05-09 10:30:00,2005-05-09 11:00:00,2005,129,0
"may 2005",3,2005-05-09 11:00:00,2005-05-09 12:00:00,2005,129,0
"may 2005",4,2005-05-09 12:00:00,2005-05-09 13:00:00,2005,129,0
"may 2005",5,2005-05-09 13:00:00,2005-05-09 14:00:00,2005,129,0
"may 2005",6,2005-05-09 14:00:00,2005-05-09 16:00:00,2005,129,0
"may 2005",7,2005-05-09 16:00:00,2005-05-09 18:00:00,2005,129,0
"may 2005",8,2005-05-09 18:00:00,2005-05-09 21:13:00,2005,129,0
"may 2005",9,2005-05-09 21:13:00,2005-05-10 06:13:00,2005,129,0
"may 2005",10,2005-05-10 06:13:00,2005-05-10 12:13:00,2005,130,0
"may 2005",11,2005-05-10 12:13:00,2005-05-10 18:13:00,2005,130,0
"may 2005",12,2005-05-10 18:13:00,2005-05-11 06:13:00,2005,130,0
"may 2005",13,2005-05-11 06:13:00,2005-05-11 12:13:00,2005,131,0
"may 2005",14,2005-05-11 12:13:00,2005-05-11 18:13:00,2005,131,0
"may 2005",15,2005-05-11 18:13:00,2005-05-12 06:13:00,2005,131,0
"may 2005",16,2005-05-12 06:13:00,2005-05-12 12:13:00,2005,132,4.9
"may 2005",17,2005-05-12 12:13:00,2005-05-12 18:13:00,2005,132,0
"may 2005",18,2005-05-12 18:13:00,2005-05-13 07:13:00,2005,132,0
"may 2005",19,2005-05-13 07:13:00,2005-05-13 16:16:00,2005,133,0.1
"may 2005",20,2005-05-13 16:16:00,2005-05-14 06:13:00,2005,133,0
"may 2005",21,2005-05-14 06:13:00,2005-05-15 10:13:00,2005,134,0
"may 2005",22,2005-05-15 10:13:00,2005-05-16 07:00:00,2005,135,0.1
"may 2005",23,2005-05-16 07:00:00,2005-05-17 06:13:00,2005,136,13.7
"may 2005",24,2005-05-17 06:13:00,2005-05-18 06:13:00,2005,137,2.2
"may 2005",25,2005-05-18 06:13:00,2005-05-19 06:13:00,2005,138,0
"may 2005",26,2005-05-19 06:13:00,2005-05-20 06:13:00,2005,139,0.2
"sept 2005",1,2005-09-06 11:00:00,2005-09-06 11:30:00,2005,249,0
"sept 2005",2,2005-09-06 11:30:00,2005-09-06 12:00:00,2005,249,0
"sept 2005",3,2005-09-06 12:00:00,2005-09-06 13:00:00,2005,249,0
"sept 2005",4,2005-09-06 13:00:00,2005-09-06 14:00:00,2005,249,0
"sept 2005",5,2005-09-06 14:00:00,2005-09-06 15:00:00,2005,249,0
"sept 2005",6,2005-09-06 15:00:00,2005-09-06 16:53:00,2005,249,0
"sept 2005",7,2005-09-06 16:53:00,2005-09-06 18:53:00,2005,249,0
"sept 2005",8,2005-09-06 18:53:00,2005-09-06 21:43:00,2005,249,0
"sept 2005",9,2005-09-06 21:43:00,2005-09-07 06:44:00,2005,249,0
"sept 2005",10,2005-09-07 06:44:00,2005-09-07 12:42:00,2005,250,1.6
"sept 2005",11,2005-09-07 12:42:00,2005-09-07 18:45:00,2005,250,0
"sept 2005",12,2005-09-07 18:45:00,2005-09-08 06:46:00,2005,250,0
"sept 2005",13,2005-09-08 06:46:00,2005-09-08 12:45:00,2005,251,0
"sept 2005",14,2005-09-08 12:45:00,2005-09-08 16:10:00,2005,251,0
"sept 2005",15,2005-09-08 16:10:00,2005-09-09 07:12:00,2005,251,0
"sept 2005",16,2005-09-09 07:12:00,2005-09-09 12:44:00,2005,252,20.3
"sept 2005",17,2005-09-09 12:44:00,2005-09-09 18:44:00,2005,252,0
"sept 2005",18,2005-09-09 18:44:00,2005-09-10 07:33:00,2005,252,0
"sept 2005",19,2005-09-10 07:33:00,2005-09-10 18:14:00,2005,253,0.7
"sept 2005",20,2005-09-10 18:14:00,2005-09-11 11:17:00,2005,253,0
"sept 2005",21,2005-09-11 11:17:00,2005-09-12 11:00:00,2005,254,0
"sept 2005",22,2005-09-12 11:00:00,2005-09-13 11:23:00,2005,255,0
"sept 2005",23,2005-09-13 11:23:00,2005-09-14 11:53:00,2005,256,0
"sept 2005",24,2005-09-14 11:53:00,2005-09-15 11:35:00,2005,257,0
"sept 2005",25,2005-09-15 11:35:00,2005-09-16 09:13:00,2005,258,0
