"pmid","pid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int","exper","file"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,1935,36482,5,1,2021-08-20 11:05:00,2021-08-20 18:13:00,"20/08/2021 11:05","20/08/2021 11:05",7.1,7.1333,-0.033333,7.1,3.55,7.25,0.11667,NA,0.98899,"mg NH3 /m3",NA,NA,NA,NA,NA,2.1386,0.030549,15.184,15.184,0.2169,16.5269230769231,NA,NA,NA,NA,NA,3.17919230769231,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36483,6,2,2021-08-20 18:13:00,2021-08-21 07:32:00,"20/08/2021 18:13","20/08/2021 18:13",13.3,13.317,-0.016667,20.4,13.75,20.567,7.25,NA,0.34085,"mg NH3 /m3",NA,NA,NA,NA,NA,0.16183,0.0023117,2.1523,17.336,0.24764,11.6384615384615,NA,NA,NA,NA,NA,1.18744538461538,NA,2,NA,NA,NA,0,0.0153846153846154,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36484,7,3,2021-08-21 07:32:00,2021-08-21 18:41:00,"21/08/2021 07:32","21/08/2021 07:32",11.2,11.15,0.05,31.6,26,31.717,20.567,NA,-0.4769,"mg NH3 /m3",NA,NA,NA,NA,NA,0.25772,0.0036814,2.8865,20.223,0.28887,15.947619047619,NA,NA,NA,NA,NA,1.7229619047619,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36485,8,4,2021-08-21 18:41:00,2021-08-22 07:33:00,"21/08/2021 18:41","21/08/2021 18:41",12.9,12.867,0.033333,44.5,38.05,44.583,31.717,NA,2.5668,"mg NH3 /m3",NA,NA,NA,NA,NA,0.027074,0.00038675,0.34926,20.572,0.29386,10.618,NA,NA,NA,NA,NA,0.36688864,NA,2,NA,NA,NA,0,0.008,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36486,9,5,2021-08-22 07:33:00,2021-08-22 18:38:00,"22/08/2021 07:33","22/08/2021 07:33",11.1,11.083,0.016667,55.6,50.05,55.667,44.583,NA,2.6409,"mg NH3 /m3",NA,NA,NA,NA,NA,0.18384,0.0026261,2.0406,22.612,0.32301,18.0547619047619,NA,NA,NA,NA,NA,2.27917857142857,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36487,10,6,2021-08-22 18:38:00,2021-08-23 07:40:00,"22/08/2021 18:38","22/08/2021 18:38",13,13.033,-0.033333,68.6,62.1,68.7,55.667,NA,0.68359,"mg NH3 /m3",NA,NA,NA,NA,NA,0.010047,0.00014351,0.13061,22.743,0.32488,10.736,NA,NA,NA,NA,NA,0.463158,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36488,11,7,2021-08-23 07:40:00,2021-08-23 19:18:00,"23/08/2021 07:40","23/08/2021 07:40",11.6,11.633,-0.033333,80.2,74.4,80.333,68.7,NA,2.3479,"mg NH3 /m3",NA,NA,NA,NA,NA,0.060461,0.00086366,0.70134,23.444,0.3349,18.9295454545455,NA,NA,NA,NA,NA,1.32569272727273,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36489,12,8,2021-08-23 19:18:00,2021-08-24 07:24:00,"23/08/2021 19:18","23/08/2021 19:18",12.1,12.1,0,92.3,86.25,92.433,80.333,NA,-0.2349,"mg NH3 /m3",NA,NA,NA,NA,NA,0.002021,2.887e-05,0.024454,23.469,0.33525,12.4086956521739,NA,NA,NA,NA,NA,0.559651739130435,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36490,13,9,2021-08-24 07:24:00,2021-08-24 18:58:00,"24/08/2021 07:24","24/08/2021 07:24",11.6,11.567,0.033333,103.9,98.1,104,92.433,NA,2.0925,"mg NH3 /m3",NA,NA,NA,NA,NA,0.042626,0.0006089,0.49446,23.963,0.34231,17.8090909090909,NA,NA,NA,NA,NA,1.90775454545455,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36491,14,10,2021-08-24 18:58:00,2021-08-25 07:28:00,"24/08/2021 18:58","24/08/2021 18:58",12.5,12.5,0,116.4,110.15,116.5,104,NA,0.19623,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0085928,0.00012275,0.10741,24.071,0.34384,14.4166666666667,NA,NA,NA,NA,NA,3.17975416666667,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36492,15,11,2021-08-25 07:28:00,2021-08-25 19:02:00,"25/08/2021 07:28","25/08/2021 07:28",11.6,11.567,0.033333,128,122.2,128.07,116.5,NA,-0.19844,"mg NH3 /m3",NA,NA,NA,NA,NA,0.016124,0.00023032,0.18703,24.258,0.34651,17.8086956521739,NA,NA,NA,NA,NA,4.05537391304348,NA,2,NA,NA,NA,0,0.00869565217391304,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36493,16,12,2021-08-25 19:02:00,2021-08-26 10:32:00,"25/08/2021 19:02","25/08/2021 19:02",15.5,15.5,0,143.5,135.75,143.57,128.07,NA,1.3676,"mg NH3 /m3",NA,NA,NA,NA,NA,-0.0016923,-2.4174e-05,-0.02623,24.232,0.34614,13.6833333333333,NA,NA,NA,NA,NA,2.37242033333333,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36494,17,13,2021-08-26 10:32:00,2021-08-26 18:53:00,"26/08/2021 10:32","26/08/2021 10:32",8.4,8.35,0.05,151.9,147.7,151.92,143.57,NA,3.5074,"mg NH3 /m3",NA,NA,NA,NA,NA,0.010999,0.00015712,0.092392,24.324,0.34746,15.2033333333333,NA,NA,NA,NA,NA,4.20346666666667,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36495,18,14,2021-08-26 18:53:00,2021-08-27 07:34:00,"26/08/2021 18:53","26/08/2021 18:53",12.7,12.683,0.016667,164.6,158.25,164.6,151.92,NA,0.77838,"mg NH3 /m3",NA,NA,NA,NA,NA,0.037225,0.00053175,0.47276,24.797,0.35421,14.182,NA,NA,NA,NA,NA,3.63902,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36496,19,15,2021-08-27 07:34:00,2021-08-27 17:41:00,"27/08/2021 07:34","27/08/2021 07:34",10.1,10.117,-0.016667,174.7,169.65,174.72,164.6,NA,-0.03413,"mg NH3 /m3",NA,NA,NA,NA,NA,0.011847,0.00016923,0.11966,24.916,0.35592,15.2868421052632,NA,NA,NA,NA,NA,4.44801052631579,NA,2,NA,NA,NA,0,0.0105263157894737,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36497,20,16,2021-08-27 17:41:00,2021-08-28 14:02:00,"27/08/2021 17:41","27/08/2021 17:41",20.3,20.35,-0.05,195,184.85,195.07,174.72,NA,0.17928,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0027777,3.9679e-05,0.056388,24.973,0.35673,14.5275,NA,NA,NA,NA,NA,3.2374825,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36498,21,17,2021-08-28 14:02:00,2021-08-29 08:15:00,"28/08/2021 14:02","28/08/2021 14:02",18.2,18.217,-0.016667,213.2,204.1,213.28,195.07,NA,0.035393,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0020287,2.8979e-05,0.036922,25.01,0.35726,14.9928571428571,NA,NA,NA,NA,NA,2.36101142857143,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1939,1935,36499,22,18,2021-08-29 08:15:00,2021-08-30 09:10:00,"29/08/2021 08:15","29/08/2021 08:15",24.9,24.917,-0.016667,238.1,225.65,238.2,213.28,NA,0.37382,"mg NH3 /m3",NA,NA,NA,NA,NA,0.00079214,1.1316e-05,0.019724,25.029,0.35754,15.5663265306122,NA,NA,NA,NA,NA,1.97492632653061,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,1936,36500,24,1,2021-08-20 11:07:00,2021-08-20 18:14:00,"20/08/2021 11:07","20/08/2021 11:07",7.1,7.1167,-0.016667,7.1,3.55,7.2667,0.15,NA,0.98899,"mg NH3 /m3",NA,NA,NA,NA,NA,2.4944,0.035632,17.71,17.71,0.25299,16.5269230769231,NA,NA,NA,NA,NA,3.17919230769231,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36501,25,2,2021-08-20 18:14:00,2021-08-21 07:31:00,"20/08/2021 18:14","20/08/2021 18:14",13.3,13.283,0.016667,20.4,13.75,20.55,7.2667,NA,0.34085,"mg NH3 /m3",NA,NA,NA,NA,NA,0.1578,0.0022541,2.0987,19.809,0.28296,11.6384615384615,NA,NA,NA,NA,NA,1.18744538461538,NA,2,NA,NA,NA,0,0.0153846153846154,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36502,26,3,2021-08-21 07:31:00,2021-08-21 18:39:00,"21/08/2021 07:31","21/08/2021 07:31",11.1,11.133,-0.033333,31.5,25.95,31.683,20.55,NA,-0.4769,"mg NH3 /m3",NA,NA,NA,NA,NA,0.22183,0.0031688,2.4624,22.271,0.31814,15.947619047619,NA,NA,NA,NA,NA,1.7229619047619,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36503,27,4,2021-08-21 18:39:00,2021-08-22 07:33:00,"21/08/2021 18:39","21/08/2021 18:39",12.9,12.9,0,44.4,37.95,44.583,31.683,NA,2.5668,"mg NH3 /m3",NA,NA,NA,NA,NA,0.024022,0.00034314,0.30988,22.581,0.32257,10.618,NA,NA,NA,NA,NA,0.36688864,NA,2,NA,NA,NA,0,0.008,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36504,28,5,2021-08-22 07:33:00,2021-08-22 18:36:00,"22/08/2021 07:33","22/08/2021 07:33",11.1,11.05,0.05,55.5,49.95,55.633,44.583,NA,2.6409,"mg NH3 /m3",NA,NA,NA,NA,NA,0.17351,0.0024785,1.9259,24.507,0.35008,18.0547619047619,NA,NA,NA,NA,NA,2.27917857142857,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36505,29,6,2021-08-22 18:36:00,2021-08-23 07:40:00,"22/08/2021 18:36","22/08/2021 18:36",13.1,13.067,0.033333,68.6,62.05,68.7,55.633,NA,0.68359,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0072715,0.00010387,0.095257,24.602,0.35144,10.736,NA,NA,NA,NA,NA,0.463158,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36506,30,7,2021-08-23 07:40:00,2021-08-23 19:16:00,"23/08/2021 07:40","23/08/2021 07:40",11.6,11.6,0,80.2,74.4,80.3,68.7,NA,2.3479,"mg NH3 /m3",NA,NA,NA,NA,NA,0.063945,0.00091344,0.74176,25.344,0.36203,18.9295454545455,NA,NA,NA,NA,NA,1.32569272727273,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36507,31,8,2021-08-23 19:16:00,2021-08-24 07:24:00,"23/08/2021 19:16","23/08/2021 19:16",12.1,12.133,-0.033333,92.3,86.25,92.433,80.3,NA,-0.2349,"mg NH3 /m3",NA,NA,NA,NA,NA,0.0017962,2.5659e-05,0.021734,25.366,0.36234,12.4086956521739,NA,NA,NA,NA,NA,0.559651739130435,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36508,32,9,2021-08-24 07:24:00,2021-08-24 18:58:00,"24/08/2021 07:24","24/08/2021 07:24",11.6,11.567,0.033333,103.9,98.1,104,92.433,NA,2.0925,"mg NH3 /m3",NA,NA,NA,NA,NA,0.046567,0.0006652,0.54018,25.906,0.37006,17.8090909090909,NA,NA,NA,NA,NA,1.90775454545455,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36509,33,10,2021-08-24 18:58:00,2021-08-25 07:26:00,"24/08/2021 18:58","24/08/2021 18:58",12.5,12.467,0.033333,116.4,110.15,116.47,104,NA,0.19623,"mg NH3 /m3",NA,NA,NA,NA,NA,0.012683,0.00018118,0.15854,26.065,0.37232,14.4166666666667,NA,NA,NA,NA,NA,3.17975416666667,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36510,34,11,2021-08-25 07:26:00,2021-08-25 19:00:00,"25/08/2021 07:26","25/08/2021 07:26",11.6,11.567,0.033333,128,122.2,128.03,116.47,NA,-0.19844,"mg NH3 /m3",NA,NA,NA,NA,NA,0.015188,0.00021695,0.17618,26.241,0.37484,17.8086956521739,NA,NA,NA,NA,NA,4.05537391304348,NA,2,NA,NA,NA,0,0.00869565217391304,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36511,35,12,2021-08-25 19:00:00,2021-08-26 10:34:00,"25/08/2021 19:00","25/08/2021 19:00",15.6,15.567,0.033333,143.6,135.8,143.6,128.03,NA,1.3676,"mg NH3 /m3",NA,NA,NA,NA,NA,-0.00047171,-6.7382e-06,-0.0073586,26.233,0.37474,13.841935483871,NA,NA,NA,NA,NA,2.34853903225806,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
1940,1936,36512,36,13,2021-08-26 10:34:00,2021-08-26 18:51:00,"26/08/2021 10:34","26/08/2021 10:34",8.3,8.2833,0.016667,151.9,147.75,151.88,143.6,NA,3.5074,"mg NH3 /m3",NA,NA,NA,NA,NA,0.018159,0.00025939,0.15072,26.384,0.37689,15.2033333333333,NA,NA,NA,NA,NA,4.20346666666667,NA,2,NA,NA,NA,0,0,0,NA,NA,"","eGylle2","../../data-submitted/03/AU/ALFAM2_template_7_0_eGylle_NL_DE_JK.xlsx"
