"row.in.file.int","air.temp","soil.temp","wind"
5,11.1,10.1,1.01
6,8.33,9.31,0.715
7,11.3,9.29,0.609
8,11.8,9.68,0.974
9,8.86,9.41,0.777
10,10.6,9.19,1.36
11,11.6,9.77,1.43
12,7.13,9,1.64
13,4.53,9.1,1.44
14,5.06,8.65,1.56
15,3.01,7.94,1.5
16,13,9.52,0.915
17,11.8,10,1.02
18,8.33,9.31,0.715
19,11.3,9.3,0.599
20,11.8,9.68,0.976
21,8.85,9.41,0.778
22,10.6,9.19,1.37
23,11.6,9.78,1.42
24,7.12,9,1.64
25,4.49,9.09,1.44
26,5.06,8.65,1.56
27,3.01,7.94,1.5
28,12.5,9.98,1.04
29,10.2,10.1,0.948
30,8.32,9.3,0.715
31,11.3,9.3,0.595
32,11.8,9.69,0.988
33,8.85,9.41,0.778
34,10.7,9.19,1.37
35,11.6,9.78,1.42
36,7.12,9,1.64
37,4.47,9.09,1.44
38,5.06,8.65,1.56
39,3.01,7.94,1.5
40,12.7,9.33,0.851
41,12,10,1.02
42,8.33,9.31,0.715
43,11.3,9.29,0.604
44,11.8,9.68,0.974
45,8.86,9.41,0.777
46,10.6,9.19,1.37
47,11.6,9.77,1.43
48,7.13,9,1.64
49,4.51,9.09,1.44
50,5.06,8.65,1.56
51,3.01,7.94,1.5
52,12.6,9.94,1.05
53,10.4,10.1,0.895
54,8.32,9.3,0.715
55,11.3,9.3,0.598
56,11.8,9.69,0.988
57,8.84,9.38,0.806
58,10.7,9.19,1.37
59,11.6,9.78,1.42
60,7.11,8.99,1.64
61,4.47,9.09,1.44
62,5.06,8.65,1.56
63,3.01,7.94,1.5
64,11,10.1,0.991
65,8.32,9.3,0.715
66,11.3,9.31,0.597
67,11.8,9.69,1
68,8.83,9.38,0.81
69,10.7,9.2,1.37
70,11.6,9.78,1.42
71,7.1,8.99,1.64
72,4.45,9.09,1.44
73,5.05,8.65,1.55
74,3.01,7.94,1.5
75,13,9.52,0.911
76,11.8,10,1.02
77,8.48,9.28,0.713
78,11.4,9.33,0.587
79,11.4,9.73,0.876
80,8.81,9.37,0.818
81,10.8,9.21,1.39
82,11.5,9.82,1.38
83,7.07,8.98,1.64
84,4.38,9.08,1.42
85,5.05,8.65,1.55
86,2.99,7.95,1.49
87,12.5,9.97,1.05
88,10.4,10.1,0.895
89,8.48,9.28,0.713
90,11.4,9.32,0.588
91,11.4,9.72,0.872
92,8.83,9.38,0.811
93,10.7,9.2,1.37
94,11.6,9.79,1.42
95,7.08,8.99,1.64
96,4.41,9.09,1.43
97,5.05,8.65,1.55
98,3,7.94,1.49
99,12.8,9.43,0.911
100,12,10,1.02
101,8.48,9.28,0.713
102,11.4,9.34,0.593
103,11.4,9.73,0.879
104,8.81,9.37,0.818
105,11,9.29,1.43
106,11.5,9.82,1.38
107,7.06,8.98,1.64
108,4.36,9.08,1.42
109,5.05,8.61,1.56
110,2.99,7.95,1.49
111,13.1,9.61,0.972
112,11.8,10,1.02
113,8.48,9.28,0.713
114,11.4,9.32,0.583
115,11.4,9.72,0.872
116,8.83,9.38,0.811
117,10.8,9.2,1.38
118,11.6,9.79,1.43
119,7.08,8.99,1.64
120,4.41,9.09,1.43
121,5.05,8.65,1.55
122,3,7.94,1.49
123,11.1,10.1,1.02
124,8.48,9.28,0.712
125,11.4,9.34,0.598
126,11.4,9.74,0.879
127,8.8,9.37,0.82
128,11,9.29,1.44
129,11.4,9.82,1.37
130,7.05,8.98,1.65
131,4.49,9.03,1.47
132,5.04,8.62,1.56
133,2.97,7.95,1.49
134,13,9.53,0.921
135,11.9,10,1.03
136,8.47,9.27,0.71
137,11.4,9.36,0.616
138,11.3,9.75,0.848
139,8.78,9.36,0.828
140,11.1,9.31,1.44
141,11.4,9.83,1.36
142,7.22,9.01,1.69
143,4.39,9.01,1.46
144,5.03,8.62,1.56
145,2.96,7.95,1.49
146,12.4,10,1.06
147,10.1,10.1,0.945
148,8.48,9.28,0.712
149,11.4,9.34,0.601
150,11.4,9.74,0.878
151,8.8,9.37,0.822
152,11,9.29,1.44
153,11.4,9.82,1.37
154,7.05,8.98,1.65
155,4.49,9.03,1.47
156,5.04,8.62,1.56
157,2.97,7.95,1.49
158,12.9,9.45,0.893
159,11.9,10,1.03
160,8.1,9.67,0.693
161,9.49,9.13,0.685
162,11.3,9.74,0.861
163,8.79,9.36,0.826
164,11,9.3,1.43
165,11.4,9.83,1.36
166,7.03,8.97,1.65
167,4.43,9.02,1.46
168,5.03,8.62,1.56
169,2.97,7.95,1.49
170,13,9.59,0.968
171,11.9,10,1.03
172,8.47,9.27,0.71
173,11.4,9.37,0.624
174,11.3,9.75,0.84
175,8.78,9.36,0.829
176,11.1,9.31,1.44
177,11.4,9.83,1.36
178,7.22,9.01,1.69
179,4.39,9.01,1.46
180,5.03,8.62,1.56
181,2.96,7.95,1.49
182,10.5,10.1,0.968
183,8.62,9.25,0.694
184,11.6,9.43,0.726
185,11.3,9.76,0.843
186,8.82,9.33,0.871
187,11.1,9.33,1.44
188,11.4,9.84,1.33
189,7.18,9.01,1.7
190,4.32,9,1.44
191,5.02,8.62,1.55
192,3.09,7.93,1.51
193,13,9.57,0.976
194,11.9,10,1.03
195,8.47,9.26,0.709
196,11.6,9.42,0.717
197,11.3,9.75,0.84
198,8.78,9.36,0.829
199,11.1,9.31,1.44
200,11.4,9.83,1.36
201,7.21,9.01,1.69
202,4.37,9.01,1.45
203,5.03,8.62,1.56
204,2.96,7.95,1.49
205,12.5,9.98,1.04
206,9.5,10,0.881
207,8.62,9.25,0.694
208,11.6,9.43,0.726
209,11.3,9.76,0.843
210,8.75,9.35,0.834
211,11.1,9.33,1.44
212,11.4,9.84,1.34
213,7.19,9.01,1.7
214,4.32,9,1.44
215,5.02,8.62,1.55
216,3.09,7.93,1.51
217,12.9,9.47,0.889
218,11.9,10,1.03
219,8.62,9.26,0.694
220,11.6,9.42,0.717
221,11.3,9.75,0.84
222,8.77,9.36,0.83
223,11.1,9.32,1.44
224,11.4,9.84,1.35
225,7.21,9.01,1.69
226,4.37,9.01,1.45
227,5.03,8.62,1.56
228,2.96,7.95,1.49
229,13.1,9.6,0.963
230,11.3,10,0.989
231,8.62,9.26,0.694
232,11.6,9.42,0.72
233,11.3,9.75,0.837
234,8.76,9.36,0.832
235,11.1,9.32,1.44
236,11.4,9.84,1.35
237,7.2,9.01,1.69
238,4.34,9,1.45
239,5.03,8.62,1.56
240,2.96,7.95,1.49
241,13.2,11.3,2.52
242,12.7,12.5,2.38
243,5.14,11.3,1.33
244,11.2,10.6,2.04
245,12.5,12.5,2.06
246,11.9,13.3,1.79
247,4.97,11.4,1.32
248,11.1,10.6,1.18
249,13.8,11.6,1.41
250,13.8,12.5,0.864
251,6.8,11.5,0.841
252,16.8,11.3,1.58
253,19.8,13.3,1.26
254,16.6,14.7,1.87
255,13.1,13.3,0.91
256,12.9,13.6,0.952
257,11.8,12.9,1.93
258,5.11,11.3,1.33
259,11.2,10.7,2.04
260,12.6,12.5,2.04
261,11.9,13.3,1.79
262,4.92,11.3,1.31
263,11.1,10.6,1.18
264,13.8,11.6,1.4
265,13.8,12.5,0.855
266,7.27,11.4,0.899
267,16.9,11.4,1.58
268,19.8,13.3,1.24
269,16.6,14.7,1.87
270,13.1,13.3,0.91
271,12.9,13.6,0.94
272,12.6,12.7,2.31
273,5.11,11.3,1.33
274,11.2,10.7,2.04
275,12.6,12.5,2.04
276,11.9,13.3,1.79
277,4.92,11.3,1.31
278,11.2,10.6,1.19
279,13.8,11.6,1.4
280,13.8,12.5,0.855
281,7.27,11.4,0.899
282,16.9,11.4,1.58
283,19.8,13.3,1.24
284,16.5,14.7,1.89
285,13.1,13.3,0.908
286,12.9,13.6,0.94
287,12.1,12.9,2.05
288,5.14,11.3,1.33
289,11.2,10.6,2.04
290,12.5,12.5,2.04
291,11.9,13.3,1.79
292,4.95,11.3,1.32
293,11.1,10.6,1.18
294,13.8,11.6,1.4
295,13.8,12.5,0.864
296,7.29,11.4,0.896
297,16.8,11.3,1.58
298,19.8,13.3,1.26
299,16.6,14.7,1.87
300,13.1,13.3,0.91
301,12.9,13.6,0.952
302,12.3,12.8,2.2
303,5.09,11.3,1.33
304,11.5,11,2.03
305,12.6,12.5,2.04
306,11.9,13.3,1.76
307,4.9,11.3,1.31
308,11.2,10.6,1.19
309,13.8,11.6,1.38
310,13.5,12.6,0.696
311,7.27,11.4,0.899
312,16.9,11.4,1.58
313,19.8,13.3,1.24
314,16.5,14.7,1.89
315,13.1,13.3,0.908
316,12.9,13.6,0.94
317,13.2,11.3,2.51
318,12.7,12.6,2.37
319,5.04,11.3,1.32
320,11.5,11,2.01
321,12.6,12.5,2.04
322,11.9,13.3,1.76
323,4.9,11.3,1.31
324,11.2,10.6,1.2
325,13.8,11.6,1.35
326,13.5,12.6,0.696
327,7.25,11.4,0.902
328,16.9,11.4,1.58
329,19.8,13.3,1.22
330,16.4,14.7,1.91
331,13.1,13.3,0.908
332,12.9,13.6,0.935
333,11.7,12.9,1.9
334,4.98,11.3,1.32
335,11.6,11.1,1.98
336,12.6,12.6,2.05
337,11.8,13.3,1.76
338,4.83,11.3,1.32
339,11.3,10.6,1.21
340,13.8,11.7,1.34
341,13.5,12.6,0.651
342,7.21,11.4,0.906
343,17,11.4,1.59
344,19.9,13.4,1.22
345,16.3,14.7,1.94
346,13.1,13.3,0.908
347,12.9,13.6,0.919
348,12.5,12.7,2.27
349,5,11.3,1.32
350,11.6,11,2
351,12.6,12.5,2.05
352,11.9,13.3,1.75
353,4.86,11.3,1.31
354,11.3,10.6,1.22
355,13.8,11.7,1.35
356,13.5,12.6,0.677
357,7.23,11.4,0.904
358,17,11.4,1.58
359,19.9,13.4,1.22
360,16.4,14.7,1.92
361,13.1,13.3,0.909
362,12.9,13.6,0.93
363,11.5,12.8,1.78
364,4.6,11.2,1.33
365,11.6,11.1,1.98
366,12.6,12.6,2.04
367,11.8,13.3,1.76
368,4.81,11.3,1.32
369,11.3,10.6,1.21
370,13.8,11.7,1.32
371,13.5,12.6,0.651
372,7.19,11.4,0.908
373,17.1,11.5,1.59
374,19.9,13.4,1.22
375,16.3,14.7,1.97
376,13.1,13.3,0.908
377,12.9,13.6,0.919
378,12.4,12.8,2.25
379,5,11.3,1.32
380,11.6,11,1.98
381,12.6,12.5,2.05
382,11.8,13.3,1.75
383,4.86,11.3,1.31
384,11.3,10.6,1.22
385,13.8,11.7,1.35
386,13.5,12.6,0.657
387,7.23,11.4,0.904
388,17,11.4,1.58
389,19.9,13.4,1.22
390,16.4,14.7,1.92
391,13.1,13.3,0.909
392,13.2,13.6,0.955
393,13.2,11.5,2.55
394,12.7,12.6,2.34
395,4.91,11.2,1.32
396,11.6,11.1,1.97
397,12.6,12.6,2.04
398,11.8,13.3,1.76
399,4.79,11.3,1.32
400,11.4,10.6,1.22
401,13.8,11.6,1.41
402,13.5,12.6,0.64
403,7.23,11.4,0.904
404,17.1,11.5,1.6
405,19.9,13.4,1.22
406,16.2,14.7,1.99
407,13.1,13.3,0.91
408,13.2,13.6,0.92
409,11.6,12.9,1.96
410,4.85,11.2,1.32
411,11.7,11.1,1.97
412,12.7,12.8,1.95
413,11.8,13.3,1.76
414,4.72,11.3,1.31
415,11.5,10.6,1.22
416,13.8,11.8,1.31
417,13.5,12.6,0.617
418,7.17,11.4,0.91
419,17.3,11.5,1.6
420,19.9,13.5,1.21
421,16,14.8,2.03
422,13.1,13.3,0.908
423,13.2,13.6,0.906
424,12.5,12.7,2.25
425,4.91,11.2,1.32
426,11.6,11.1,1.97
427,12.6,12.6,2.04
428,11.8,13.3,1.76
429,4.79,11.3,1.32
430,11.4,10.6,1.22
431,13.8,11.6,1.41
432,13.5,12.6,0.64
433,7.21,11.4,0.906
434,17.1,11.5,1.6
435,19.9,13.4,1.22
436,16.1,14.8,2.01
437,13.1,13.3,0.91
438,12.9,13.6,0.893
439,12,12.9,2.02
440,4.85,11.2,1.32
441,11.6,11.1,1.98
442,12.7,12.8,1.95
443,11.8,13.3,1.76
444,4.74,11.3,1.31
445,11.5,10.6,1.22
446,13.8,11.8,1.32
447,13.5,12.6,0.629
448,7.19,11.4,0.908
449,17.3,11.5,1.6
450,19.9,13.4,1.22
451,16,14.8,2.03
452,13.1,13.3,0.908
453,12.9,13.6,0.888
454,12.4,12.8,2.25
455,4.83,11.2,1.32
456,11.7,11.2,1.98
457,12.7,12.8,1.95
458,11.8,13.3,1.76
459,4.72,11.3,1.31
460,11.5,10.6,1.22
461,13.8,11.8,1.31
462,13.5,12.6,0.605
463,7.17,11.4,0.91
464,17.3,11.6,1.6
465,19.9,13.5,1.21
466,16,14.8,2.03
467,13.1,13.3,0.908
468,13.2,13.6,0.906
469,13.3,11.5,2.55
470,12.6,12.7,2.33
471,5.29,11.2,1.37
472,11.7,11.2,1.99
473,12.7,12.8,1.95
474,11.7,13.3,1.79
475,4.98,11.2,1.29
476,11.6,10.7,1.23
477,13.8,11.9,1.27
478,13.5,12.7,0.602
479,7.1,11.4,0.918
480,17.5,11.6,1.57
481,19.9,13.4,1.22
482,15.9,14.8,2.07
483,13,13.4,1.01
484,12.9,13.5,0.862
485,11.5,12.9,1.96
486,5.25,11.2,1.37
487,11.7,11.2,1.98
488,12.7,12.8,1.96
489,11.7,13.3,1.77
490,4.7,11.3,1.3
491,11.5,10.6,1.22
492,13.8,11.8,1.28
493,13.5,12.6,0.605
494,7.17,11.4,0.91
495,17.3,11.6,1.59
496,20,13.5,1.2
497,16,14.8,2.03
498,13.1,13.3,0.909
499,12.9,13.5,0.872
500,13.4,12.5,1.67
501,12.4,12.8,2.25
502,5.27,11.2,1.37
503,11.7,11.2,1.99
504,12.7,12.8,1.95
505,11.7,13.3,1.79
506,4.64,11.2,1.3
507,11.6,10.7,1.23
508,13.8,11.9,1.28
509,13.5,12.7,0.602
510,7.13,11.4,0.915
511,17.4,11.6,1.59
512,19.9,13.4,1.22
513,15.9,14.8,2.07
514,13,13.4,1
515,12.9,13.5,0.867
516,11.8,12.9,2.01
517,6.15,12.1,1.28
518,5.7,10.7,1.55
519,12.7,12.8,1.95
520,11.7,13.3,1.77
521,4.7,11.3,1.3
522,11.5,10.6,1.22
523,13.8,11.8,1.28
524,13.5,12.7,0.604
525,7.15,11.4,0.912
526,17.3,11.6,1.59
527,19.9,13.5,1.21
528,16,14.8,2.03
529,13.1,13.3,0.909
530,12.9,13.5,0.872
531,12.3,12.8,2.22
532,5.25,11.2,1.37
533,11.7,11.2,1.98
534,12.7,12.8,1.95
535,11.7,13.3,1.77
536,4.7,11.3,1.3
537,11.5,10.6,1.22
538,13.8,11.9,1.28
539,13.5,12.7,0.604
540,7.15,11.4,0.912
541,17.3,11.6,1.59
542,19.9,13.5,1.21
543,16,14.8,2.05
544,13,13.4,1
545,13.2,13.6,0.901
546,15.6,8.64,1.79
547,18.2,9.8,2.29
548,17.6,10.4,2.81
549,11.4,9.43,1.3
550,16,9.46,3.38
551,16.8,10.5,5.24
552,15.3,10.8,4.73
553,6.97,9.76,3.77
554,2.47,8.71,4.22
555,1.57,7.43,4.13
556,6.04,7.58,6.14
557,1,6.75,5.45
558,5.06,6.59,7
559,1.43,5.82,3.91
560,2.76,5.67,3.29
561,17.1,9.06,1.91
562,18.5,10.1,2.35
563,17.6,10.4,2.81
564,11.4,9.43,1.3
565,15.6,9.24,2.67
566,16.9,10.3,5.4
567,15.5,10.8,4.76
568,6.97,9.76,3.77
569,2.47,8.72,4.23
570,1.57,7.43,4.13
571,6.04,7.58,6.14
572,0.734,6.84,5.21
573,4.79,6.42,7.14
574,1.43,5.82,3.91
575,2.78,5.68,3.31
576,15.9,8.69,1.8
577,18.2,9.8,2.29
578,17.6,10.4,2.82
579,11.4,9.42,1.28
580,16,9.46,3.38
581,16.8,10.5,5.24
582,15.3,10.8,4.73
583,6.97,9.76,3.77
584,2.47,8.71,4.22
585,1.57,7.43,4.13
586,6.04,7.58,6.14
587,0.969,6.75,5.46
588,5.08,6.6,6.96
589,1.43,5.82,3.91
590,2.74,5.67,3.28
591,17.3,9.11,1.9
592,18.4,10,2.36
593,17.6,10.4,2.82
594,11.4,9.42,1.28
595,16.1,9.48,3.43
596,16.8,10.5,5.24
597,15.3,10.8,4.73
598,6.97,9.76,3.77
599,2.47,8.71,4.22
600,1.57,7.43,4.13
601,6.09,7.6,6.14
602,0.969,6.75,5.46
603,5.08,6.6,6.96
604,1.41,5.82,3.9
605,2.74,5.67,3.28
606,18,9.51,2.15
607,18.5,10.2,2.4
608,12.1,9.54,1.49
609,16,9.46,3.38
610,16.9,10.4,5.43
611,15.4,10.8,4.75
612,6.97,9.76,3.77
613,2.47,8.71,4.22
614,1.57,7.43,4.13
615,6.04,7.58,6.14
616,1,6.75,5.45
617,5.08,6.6,6.96
618,1.43,5.82,3.91
619,2.76,5.67,3.29
620,15.6,8.64,1.79
621,18.2,9.8,2.29
622,17.5,10.4,2.86
623,11.4,9.42,1.28
624,16.1,9.48,3.43
625,16.9,10.4,5.43
626,15.4,10.8,4.75
627,6.92,9.75,3.77
628,2.47,8.7,4.2
629,1.57,7.43,4.13
630,6.09,7.6,6.14
631,0.969,6.75,5.46
632,5.08,6.62,6.91
633,1.39,5.81,3.89
634,2.74,5.67,3.28
635,17.2,9.09,1.91
636,18.4,10,2.35
637,17.5,10.4,2.84
638,11.4,9.42,1.28
639,16.1,9.48,3.43
640,16.8,10.5,5.24
641,15.3,10.8,4.73
642,6.92,9.75,3.77
643,2.47,8.71,4.22
644,1.57,7.43,4.13
645,6.09,7.6,6.14
646,0.969,6.75,5.46
647,5.08,6.6,6.96
648,1.41,5.82,3.9
649,2.74,5.67,3.28
650,15.7,8.66,1.79
651,18.2,9.77,2.27
652,17.5,10.4,2.86
653,11.4,9.41,1.27
654,16.1,9.5,3.49
655,16.8,10.5,5.24
656,15.2,10.8,4.73
657,6.92,9.75,3.77
658,2.47,8.7,4.2
659,1.56,7.42,4.13
660,6.13,7.62,6.14
661,0.935,6.74,5.46
662,5.09,6.64,6.86
663,1.37,5.81,3.88
664,2.72,5.67,3.26
665,17.3,9.11,1.9
666,18.5,10.1,2.35
667,17.5,10.4,2.84
668,11.4,9.42,1.28
669,16.1,9.48,3.43
670,16.8,10.5,5.24
671,15.3,10.8,4.73
672,6.92,9.75,3.77
673,2.47,8.7,4.2
674,1.57,7.43,4.13
675,6.09,7.6,6.14
676,0.969,6.75,5.46
677,5.08,6.62,6.91
678,1.41,5.82,3.9
679,2.74,5.67,3.28
680,17.9,9.48,2.13
681,18.5,10.2,2.4
682,16.9,10.4,3.1
683,11.4,9.41,1.27
684,16.1,9.5,3.49
685,16.8,10.5,5.24
686,15.2,10.8,4.73
687,6.92,9.75,3.77
688,2.47,8.7,4.2
689,1.56,7.42,4.13
690,6.13,7.62,6.14
691,0.935,6.74,5.46
692,5.1,6.65,6.82
693,1.37,5.81,3.88
694,2.72,5.67,3.26
695,15.7,8.66,1.79
696,18.2,9.75,2.25
697,17.6,10.4,2.79
698,11.4,9.49,1.3
699,15.4,9.16,2.59
700,16.9,10.3,5.37
701,15.4,10.8,4.76
702,7.12,9.78,3.78
703,2.47,8.71,4.22
704,1.57,7.43,4.13
705,6.21,7.65,6.15
706,0.901,6.73,5.46
707,5.11,6.67,6.79
708,1.35,5.8,3.86
709,2.7,5.66,3.24
710,16.9,9.01,1.93
711,18.5,10.1,2.36
712,11.2,9.47,1.25
713,15.6,9.22,2.65
714,16.9,10.3,5.4
715,15.4,10.8,4.76
716,7.07,9.78,3.78
717,2.47,8.7,4.2
718,1.56,7.42,4.13
719,6.24,7.67,6.17
720,1.02,6.7,5.57
721,5.01,6.76,6.59
722,1.31,5.79,3.84
723,2.66,5.66,3.2
724,15.7,8.66,1.79
725,18.2,9.8,2.29
726,17.6,10.4,2.79
727,11.4,9.49,1.3
728,15.5,9.18,2.62
729,16.9,10.3,5.37
730,15.5,10.8,4.76
731,7.12,9.78,3.78
732,2.47,8.71,4.22
733,1.57,7.43,4.13
734,6.21,7.65,6.15
735,0.901,6.73,5.46
736,5.11,6.67,6.79
737,1.35,5.8,3.86
738,2.7,5.66,3.24
739,17.4,9.16,1.9
740,18.5,10.1,2.35
741,18.1,10.3,2.53
742,11.6,9.52,1.37
743,15.3,9.14,2.55
744,16.9,10.3,5.33
745,15.5,10.8,4.75
746,7.12,9.78,3.78
747,2.47,8.72,4.23
748,1.57,7.43,4.13
749,6.21,7.65,6.15
750,0.935,6.74,5.46
751,5.1,6.65,6.82
752,1.37,5.81,3.88
753,2.72,5.67,3.26
754,17.8,9.43,2.09
755,18.5,10.2,2.4
756,17.7,10.4,2.77
757,11.4,9.49,1.3
758,15.4,9.16,2.59
759,16.9,10.3,5.28
760,15.6,10.8,4.74
761,7.12,9.78,3.78
762,2.47,8.72,4.23
763,1.57,7.43,4.13
764,6.21,7.65,6.15
765,0.935,6.74,5.46
766,5.1,6.65,6.82
767,1.37,5.81,3.88
768,2.72,5.67,3.26
769,14.6,8.42,1.83
770,18.1,9.72,2.23
771,17.6,10.4,2.79
772,11.3,9.48,1.27
773,15.8,9.39,3.27
774,16.9,10.4,5.42
775,15.4,10.8,4.75
776,7.07,9.78,3.78
777,2.47,8.71,4.22
778,1.57,7.43,4.13
779,6.24,7.67,6.17
780,0.868,6.72,5.47
781,5.11,6.67,6.79
782,1.35,5.8,3.86
783,2.68,5.66,3.22
784,16.9,9.01,1.93
785,18.5,10.1,2.36
786,17.6,10.4,2.79
787,11.3,9.48,1.27
788,15.5,9.2,2.64
789,16.9,10.3,5.37
790,15.4,10.8,4.76
791,7.07,9.78,3.78
792,2.47,8.7,4.2
793,1.57,7.43,4.13
794,6.24,7.67,6.17
795,0.868,6.72,5.47
796,5.11,6.67,6.79
797,1.33,5.79,3.85
798,2.66,5.66,3.2
799,14.7,8.44,1.84
800,18.1,9.72,2.23
801,17.6,10.4,2.79
802,11.3,9.48,1.28
803,15.5,9.2,2.64
804,16.9,10.3,5.4
805,15.4,10.8,4.76
806,7.12,9.78,3.78
807,2.47,8.71,4.22
808,1.57,7.43,4.13
809,6.24,7.67,6.17
810,0.868,6.72,5.47
811,5.11,6.67,6.79
812,1.35,5.8,3.86
813,2.48,5.63,3.09
814,17.5,9.19,1.92
815,18.5,10.1,2.36
816,18.1,10.3,2.55
817,11.7,9.54,1.39
818,15.5,9.18,2.62
819,16.9,10.3,5.4
820,15.4,10.8,4.76
821,7.12,9.78,3.78
822,2.47,8.71,4.22
823,1.57,7.43,4.13
824,6.21,7.65,6.15
825,0.901,6.73,5.46
826,5.11,6.67,6.79
827,1.35,5.8,3.86
828,2.7,5.66,3.24
829,17.9,9.46,2.11
830,18.5,10.1,2.38
831,17.6,10.4,2.81
832,11.3,9.48,1.27
833,15.5,9.2,2.64
834,16.9,10.4,5.42
835,15.4,10.8,4.76
836,7.07,9.78,3.78
837,2.47,8.7,4.2
838,1.57,7.43,4.13
839,6.24,7.67,6.17
840,0.834,6.71,5.47
841,5.12,6.68,6.76
842,1.33,5.79,3.85
843,2.66,5.66,3.2
844,18.4,12.9,3.63
845,19.6,13.8,4.62
846,17.3,13.6,3.71
847,12.3,11.9,2.78
848,19.8,12.9,2.78
849,21,14.1,2.69
850,20.3,14.4,2.28
851,17.6,14,1.48
852,12.2,12.2,1.33
853,18.2,12.6,2.41
854,20.4,14.2,2.07
855,20.4,14.6,1.11
856,18.2,14.3,0.925
857,11.6,12.3,0.793
858,21,13,3.26
859,21.9,13.9,4.49
860,20.9,14.3,4.45
861,18.4,14.1,1.21
862,13.4,12.4,2.11
863,17.8,13.9,2.69
864,18.1,14.9,3.29
865,10.2,12.5,1.04
866,18.9,13.4,2.09
867,19.1,14.7,2.52
868,14.6,13.3,1.35
869,21.1,14.6,2.9
870,20.2,15.5,3.24
871,13.7,13.5,1.53
872,12.7,13.1,2.09
873,19.4,13.2,4.11
874,19.6,13.8,4.59
875,17.3,13.6,3.71
876,12.3,11.9,2.78
877,19.8,12.9,2.78
878,21,14.1,2.69
879,20.3,14.4,2.28
880,17.6,14,1.48
881,12.2,12.2,1.33
882,18.2,12.6,2.41
883,20.4,14.2,2.07
884,20.4,14.6,1.11
885,18.3,14.4,0.884
886,11.6,12.3,0.794
887,21,13,3.26
888,21.9,13.9,4.49
889,21,14.3,4.47
890,18.5,14.1,1.33
891,13.4,12.4,2.1
892,17.8,13.9,2.69
893,18.1,14.9,3.29
894,10.2,12.5,1.04
895,18.9,13.4,2.09
896,19.1,14.7,2.53
897,14.6,13.3,1.35
