project,experiment,field,plot_code,replicate,size,lat,long,country,topo,samp_depth,clay,slit,sand,org,soil_type,soil_water_g,soil_water_v,soil_moist,soil_pH,soil_dens,crop_res,till_before,source,source_det,bedding,consist,man_treatment,man_treat2,man_treat3,stor_days,man_DM,man_VS,man_TN,man_TAN,man_TIC,man_UA,man_VFA,man_pH,app_start,app_end,app_method,app_rate,app_unit,incorp,incorp_time
B1990-15,B1990-15,1-Slootdorp,001,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Broadcast,29.2,t/ha,None,
B1990-15,B1990-15,2-Slootdorp,002,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Broadcast,31.7,t/ha,Shallow,0.1
B1990-15,B1990-15,4-Slootdorp,004,"",,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.4,"","",2.8,"","","",,"","",Closed slot injection,37.8,t/ha,None,
B1990-35,B1990-35,5-Slootdorp,005,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Broadcast,38.6,t/ha,None,
B1990-35,B1990-35,7-Slootdorp,007,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Broadcast,42.8,t/ha,Shallow,0.1
B1990-35,B1990-35,8-Slootdorp,008,"",,"","",NL,"","","","","","",clay,"",13,"","","","","",pig,"","","",None,"","","",10.1,"","",5.5,"","","",,"","",Closed slot injection,38.1,t/ha,None,
B1990-37,B1990-37,9-Slootdorp,009,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.4,t/ha,None,
B1990-37,B1990-37,10-Slootdorp,010,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Closed slot injection,26.5,t/ha,None,
B1990-37,B1990-37,11-Slootdorp,011,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.5,t/ha,Shallow,0.1
B1990-37,B1990-37,12-Slootdorp,012,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",8.6,"","",6.1,"","","",,"","",Broadcast,21.4,t/ha,Shallow,0.1
B1990-38,B1990-38,70-Slootdorp,070,"",,"","",NL,"","","","","","",sand,"",12,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,17.9,t/ha,None,
B1990-38,B1990-38,71-Slootdorp,071,"",,"","",NL,"","","","","","",sand,"",11,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,18.3,t/ha,Shallow,0.1
B1990-38,B1990-38,72-Slootdorp,072,"",,"","",NL,"","","","","","",sand,"",13,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Broadcast,17.8,t/ha,Shallow,0.1
B1990-38,B1990-38,73-Slootdorp,073,"",,"","",NL,"","","","","","",sand,"",10,"","","","","",pig,"","","",None,"","","",8.82,"","",5.5,"","","",,"","",Closed slot injection,19.2,t/ha,Deep,0.1
B1990-38,B1990-38,74-Slootdorp,074,"",,"","",NL,"","","","","","",clay,"",17,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,22,t/ha,None,
B1990-38,B1990-38,75-Slootdorp,075,"",,"","",NL,"","","","","","",clay,"",17,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,24.5,t/ha,Shallow,0.1
B1990-38,B1990-38,76-Slootdorp,076,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Broadcast,22.6,t/ha,Shallow,0.1
B1990-38,B1990-38,77-Slootdorp,077,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",8.2,"","",5.3,"","","",,"","",Closed slot injection,22.9,t/ha,Deep,0.1
B1990-39,B1990-39,78-Slootdorp,078,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",9.71,"","",4.9,"","","",,"","",Broadcast,20.4,t/ha,None,
B1990-39,B1990-39,82-Slootdorp,082,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.65,"","",5,"","","",,"","",Broadcast,22.6,t/ha,None,
B1991-13,B1991-13,21-Slootdorp,021,"",,"","",NL,"","","","","","",clay,"",16,"","","","","",pig,"","","",None,"","","",7.6,"","",4.1,"","","",,"","",Broadcast,18.2,t/ha,None,
B1991-13,B1991-13,22-Slootdorp,022,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",pig,"","","",None,"","","",7.6,"","",4.1,"","","",,"","",Broadcast,16.4,t/ha,Shallow,0.1
B1991-14,B1991-14,25-Slootdorp,025,"",,"","",NL,"","","","","","",clay,"",26,"","","","","",pig,"","","",None,"","","",7.8,"","",3.9,"","","",,"","",Broadcast,14.4,t/ha,None,
B1991-18,B1991-18,27-Slootdorp,027,"",,"","",NL,"","","","","","",clay,"",15,"","","","","",pig,"","","",None,"","","",9.36,"","",4.1,"","","",,"","",Broadcast,13.6,t/ha,None,
B1991-36,B1991-36,28-Slootdorp,028,"",,"","",NL,"","","","","","",clay,"",18,"","","","","",dairy,"","","",None,"","","",6.03,"","",2.4,"","","",,"","",Broadcast,18.8,t/ha,None,
B1991-37,B1991-37,29-Slootdorp,029,"",,"","",NL,"","","","","","",sandy loam,"",9,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,14.6,t/ha,None,
B1991-37,B1991-37,30-Slootdorp,030,"",,"","",NL,"","","","","","",sandy loam,"",14,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,15.3,t/ha,Shallow,0.1
B1991-37,B1991-37,31-Slootdorp,031,"",,"","",NL,"","","","","","",sandy loam,"",14,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,15.1,t/ha,Shallow,0.1
B1991-37,B1991-37,32-Slootdorp,032,"",,"","",NL,"","","","","","",sandy loam,"",9,"","","","","",pig,"","","",None,"","","",8.36,"","",4.5,"","","",,"","",Broadcast,25.7,t/ha,Shallow,0.1
B1991-38,B1991-38,33-Slootdorp,033,"",,"","",NL,"","","","","","",sandy loam,"",15,"","","","","",pig,"","","",None,"","","",7.12,"","",4.2,"","","",,"","",Broadcast,15.9,t/ha,None,
B1992-10,B1992-10,39-Slootdorp,039,"",,"","",NL,"","","","","","",sand,"",14,"","","","","",pig,"","","",None,"","","",9.78,"","",4.5,"","","",,"","",Broadcast,19,t/ha,None,
B1992-10,B1992-10,42-Slootdorp,042,"",,"","",NL,"","","","","","",sand,"",14,"","","","","",pig,"","","",None,"","","",9.78,"","",4.5,"","","",,"","",Closed slot injection,19.6,t/ha,Deep,0.1
B1992-14,B1992-14,43-Slootdorp,043,"",,"","",NL,"","","","","","",sandy loam,"",20,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,29.5,t/ha,None,
B1992-14,B1992-14,44-Slootdorp,044,"",,"","",NL,"","","","","","",sandy loam,"",16,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,25.9,t/ha,Shallow,0.1
B1992-14,B1992-14,45-Slootdorp,045,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,25.2,t/ha,Shallow,0.1
B1992-14,B1992-14,46-Slootdorp,046,"",,"","",NL,"","","","","","",sandy loam,"",16,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Broadcast,28,t/ha,Shallow,0.1
B1992-14,B1992-14,47-Slootdorp,047,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",10.7,"","",4.4,"","","",,"","",Closed slot injection,26.3,t/ha,None,
B1992-19,B1992-19,48-Slootdorp,048,"",,"","",NL,"","","","","","",sandy loam,"",22,"","","","","",pig,"","","",None,"","","",9.77,"","",4,"","","",,"","",Broadcast,16.4,t/ha,None,
B1992-20,B1992-20,49-Slootdorp,049,"",,"","",NL,"","","","","","",sandy loam,"",19,"","","","","",pig,"","","",None,"","","",6.64,"","",3.9,"","","",,"","",Broadcast,17.4,t/ha,None,
B1992-24,B1992-24,50-Slootdorp,050,"",,"","",NL,"","","","","","",sandy loam,"",15,"","","","","",pig,"","","",None,"","","",7.75,"","",4.4,"","","",,"","",Broadcast,15.3,t/ha,None,
B1992-37,B1992-37,51-Slootdorp,051,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,29.1,t/ha,None,
B1992-37,B1992-37,53-Slootdorp,053,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,28.3,t/ha,Shallow,0.1
B1992-37,B1992-37,54-Slootdorp,054,"",,"","",NL,"","","","","","",sandy loam,"",21,"","","","","",pig,"","","",None,"","","",6.07,"","",3.8,"","","",,"","",Broadcast,29.2,t/ha,Shallow,0.1
B1992-38,B1992-38,55-Slootdorp,055,"",,"","",NL,"","","","","","",sand,"",19,"","","","","",pig,"","","",None,"","","",5.58,"","",3.9,"","","",,"","",Broadcast,28.7,t/ha,None,
B1992-38,B1992-38,56-Slootdorp,056,"",,"","",NL,"","","","","","",sand,"",19,"","","","","",pig,"","","",None,"","","",5.58,"","",3.9,"","","",,"","",Broadcast,29.8,t/ha,Shallow,0.1
B1992-38,B1992-38,57-Slootdorp,057,"",,"","",NL,"","","","","","",sand,"",19,"","","","","",pig,"","","",None,"","","",5.58,"","",3.9,"","","",,"","",Broadcast,29.3,t/ha,Shallow,0.1
B1992-39,B1992-39,58-Slootdorp,058,"",,"","",NL,"","","","","","",sand,"",22,"","","","","",pig,"","","",None,"","","",5.5,"","",3.8,"","","",,"","",Broadcast,28.9,t/ha,None,
B1992-39,B1992-39,59-Slootdorp,059,"",,"","",NL,"","","","","","",sand,"",22,"","","","","",pig,"","","",None,"","","",5.5,"","",3.8,"","","",,"","",Broadcast,30.2,t/ha,Shallow,0.1
B1992-39,B1992-39,60-Slootdorp,060,"",,"","",NL,"","","","","","",sand,"",22,"","","","","",pig,"","","",None,"","","",5.5,"","",3.8,"","","",,"","",Broadcast,30.9,t/ha,Shallow,0.1
B1993-15,B1993-15,63-Slootdorp,063,"",,"","",NL,"","","","","","",sandy loam,"",19,"","","","","",pig,"","","",None,"","","",13.6,"","",4.4,"","","",,"","",Broadcast,28.9,t/ha,None,
B1993-15,B1993-15,64-Slootdorp,064,"",,"","",NL,"","","","","","",sandy loam,"",22,"","","","","",pig,"","","",None,"","","",13.6,"","",4.4,"","","",,"","",Broadcast,27.3,t/ha,None,
B1993-15,B1993-15,67-Slootdorp,067,"",,"","",NL,"","","","","","",sandy loam,"",15,"","","","","",pig,"","","",None,"","","",13.6,"","",4.4,"","","",,"","",Broadcast,28,t/ha,Shallow,0.1
B1993-15,B1993-15,68-Slootdorp,068,"",,"","",NL,"","","","","","",sandy loam,"",18,"","","","","",pig,"","","",None,"","","",13.6,"","",4.4,"","","",,"","",Broadcast,12.1,t/ha,Shallow,0.1
B1993-17,B1993-17,69-Slootdorp,069,"",,"","",NL,"","","","","","",clay,"",19,"","","","","",pig,"","","",None,"","","",15.3,"","",4.6,"","","",,"","",Broadcast,15.7,t/ha,None,
B1998-39,B1998-39,Slootdorp,001,"",1639.35,"","",NL,"","","","","","",clay,"",25.8,"","","","","",pig,"","","",None,"","","",7.44,"","",4.78,"","","",8.5,"","",Broadcast,21.471924848263,t/ha,None,
B1998-39,B1998-39,Slootdorp,002,"",1645.78,"","",NL,"","","","","","",clay,"",24.9,"","","","","",pig,"","","",None,"","","",7.4,"","",4.715,"","","",8.5,"","",Broadcast,21.9956494792743,t/ha,Shallow,0.1
B1998-39,B1998-39,Slootdorp,003,"",1640.75,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",7.4,"","",4.78,"","","",8.5,"","",Broadcast,20.9660216364467,t/ha,Shallow,0.1
B1998-39,B1998-39,Slootdorp,004,"",1657.25,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",7.4,"","",4.715,"","","",8.5,"","",Broadcast,21.4210288127923,t/ha,Shallow,0.1
B1998-40,B1998-40,Slootdorp,001,"",1609.5,"","",NL,"","","","","","",clay,"",26,"","","","","",pig,"","","",None,"","","",6.23,"","",4.69,"","","",8.1,"","",Broadcast,20.8139173656415,t/ha,None,
B1998-40,B1998-40,Slootdorp,002,"",1634.75,"","",NL,"","","","","","",clay,"",28.5,"","","","","",pig,"","","",None,"","","",6.22,"","",4.685,"","","",8.1,"","",Broadcast,19.8195442728246,t/ha,Shallow,0.1
B1998-40,B1998-40,Slootdorp,003,"",1627.5,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6.2,"","",4.69,"","","",8.1,"","",Broadcast,19.4162826420891,t/ha,Shallow,0.1
B1998-40,B1998-40,Slootdorp,004,"",1614.5,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6.2,"","",4.685,"","","",8.1,"","",Broadcast,20.6255806751316,t/ha,Shallow,0.1
B2002-13,B2002-13,Slootdorp,001,"",1444.1,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.1,"","",3.28,"","","",8,"","",Broadcast,24.3750432795513,t/ha,None,
B2002-13,B2002-13,Slootdorp,002,"",1496.16,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.3,"","",3.33,"","","",8,"","",Open slot injection,21.655437921078,t/ha,None,
B2002-14,B2002-14,Slootdorp,001,"",1320.03,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",,"","",4.04,"","","",7.9,"","",Broadcast,17.6511139898336,t/ha,None,
B2002-14,B2002-14,Slootdorp,002,"",1685.12,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",,"","",3.33,"","","",8.2,"","",Open slot injection,19.7018609950627,t/ha,None,
B2002-14,B2002-14,Slootdorp,003,"",1685.76,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",,"","",4.24,"","","",7.9,"","",Open slot injection,21.9485573272589,t/ha,Shallow,0.1
B2002-15,B2002-15,Slootdorp,001,"",1295.1054,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",5.9,"","",3.46,"","","",8,"","",Broadcast,16.9870344143419,t/ha,None,
B2002-15,B2002-15,Slootdorp,002,"",1682.56,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.1,"","",3.57,"","","",8.1,"","",Open slot injection,19.1375047546596,t/ha,None,
B2002-15,B2002-15,Slootdorp,003,"",1708.48,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.2,"","",3.56,"","","",8.1,"","",Open slot injection,17.7935943060498,t/ha,Shallow,0.1
B2002-17,B2002-17,Slootdorp,001,"",1354.82,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.6,"","",3.91,"","","",8.1,"","",Broadcast,16.3859405677507,t/ha,None,
B2002-17,B2002-17,Slootdorp,002,"",1654.4,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6,"","",3.8,"","","",8.1,"","",Open slot injection,18.0125725338491,t/ha,None,
B2002-17,B2002-17,Slootdorp,003,"",1671.04,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",5.8,"","",3.8,"","","",8.1,"","",Open slot injection,17.7135197242436,t/ha,Shallow,0.1
B2002-19,B2002-19,Slootdorp,001,"",1284.8,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",13.8,"","",4.26,"","","",8,"","",Broadcast,16.3449564134496,t/ha,None,
B2002-19,B2002-19,Slootdorp,002,"",1628.16,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",10.4,"","",4.4,"","","",8,"","",Open slot injection,19.1627358490566,t/ha,None,
B2002-19,B2002-19,Slootdorp,003,"",1623.68,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",9.2,"","",4.34,"","","",8,"","",Open slot injection,18.9692550256208,t/ha,Shallow,0.1
B2006-17,B2006-17,Slootdorp,001,"",1610.92,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6,"","",3.17,"","","",7.9,"","",Open slot injection,29.9207906041268,t/ha,Deep,0.1
B2006-17,B2006-17,Slootdorp,002,"",1611.13,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6,"","",3.17,"","","",7.9,"","",Open slot injection,24.5790221769814,t/ha,Deep,0.1
B2006-18,B2006-18,Slootdorp,001,"",1587.6,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6,"","",3.163,"","","",7.8,"","",Broadcast,19.7782816830436,t/ha,Shallow,0.1
B2006-18,B2006-18,Slootdorp,002,"",1621.8,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6,"","",3.163,"","","",7.8,"","",Broadcast,20.1011222098902,t/ha,Shallow,0.1
B2006-19,B2006-19,Slootdorp,001,"",1638,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6.1,"","",4.125,"","","",7.6,"","",Broadcast,18.6813186813187,t/ha,Shallow,0.1
B2006-19,B2006-19,Slootdorp,002,"",1629,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",6.1,"","",4.125,"","","",7.6,"","",Broadcast,19.0300798035605,t/ha,Shallow,0.1
B2007-13,B2007-13,Slootdorp,001,"",1342.8,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.49,"","",4.14,"","","",8,"","",Open slot injection,28.8948465892166,t/ha,None,
B2007-13,B2007-13,Slootdorp,002,"",1491.336,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",6.56,"","",4.13,"","","",8,"","",Trailing hose,28.162667567872,t/ha,Shallow,0.1
B2007-13,B2007-13,Slootdorp,003,"",1363.68,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",5.78,"","",3.83,"","","",7.8,"","",Open slot injection,28.5990848292855,t/ha,None,
B2007-13,B2007-13,Slootdorp,004,"",1306.8,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",5.65,"","",3.89,"","","",8,"","",Trailing hose,29.3847566574839,t/ha,None,
B2007-16,B2007-16,Slootdorp,001,"",1337.04,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",9.9,"","",5.74,"","","",7.5,"","",Trailing hose,29.1689104290074,t/ha,None,
B2007-16,B2007-16,Slootdorp,002,"",1450.08,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",9.8,"","",5.75,"","","",7.6,"","",Trailing hose,28.5501489572989,t/ha,None,
B2007-16,B2007-16,Slootdorp,003,"",1423.44,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",10,"","",5.79,"","","",7.4,"","",Open slot injection,28.6629573427752,t/ha,None,
B2007-16,B2007-16,Slootdorp,004,"",1359.36,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",10,"","",5.8,"","","",7.4,"","",Open slot injection,28.3957156308851,t/ha,None,
B2007-17,B2007-17,Slootdorp,001,"",1399.68,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",9.13,"","",4.97,"","","",7.8,"","",Open slot injection,28.2921810699588,t/ha,None,
B2007-17,B2007-17,Slootdorp,002,"",1381.536,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",8.78,"","",4.92,"","","",7.8,"","",Trailing hose,28.5189817710143,t/ha,None,
B2007-17,B2007-17,Slootdorp,003,"",1410.48,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",9.04,"","",5.05,"","","",7.7,"","",Open slot injection,28.926322953888,t/ha,None,
B2007-17,B2007-17,Slootdorp,004,"",1477.224,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",8.55,"","",5.07,"","","",7.6,"","",Trailing hose,26.5362599037113,t/ha,None,
B2008-15,B2008-15,Slootdorp,001,"",1520.496,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.23,"","",4.68,"","","",,"","",Trailing hose,20.1250118382423,t/ha,None,
B2008-15,B2008-15,Slootdorp,002,"",1557.432,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.23,"","",4.68,"","","",,"","",Open slot injection,19.5193112765116,t/ha,None,
B2008-15,B2008-15,Slootdorp,003,"",1549.512,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.23,"","",4.68,"","","",,"","",Open slot injection,19.2318613860364,t/ha,None,
B2008-15,B2008-15,Slootdorp,004,"",1519.56,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.23,"","",4.68,"","","",,"","",Trailing hose,18.8212377267104,t/ha,None,
B2008-17,B2008-17,Slootdorp,001,"",1391.04,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",8.17,"","",4.06,"","","",,"","",Open slot injection,24.298366689671,t/ha,None,
B2008-17,B2008-17,Slootdorp,002,"",1357.2,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.96,"","",4.08,"","","",,"","",Trailing hose,23.2832301797819,t/ha,None,
B2008-17,B2008-17,Slootdorp,003,"",1332.72,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.95,"","",4.04,"","","",,"","",Trailing hose,22.9605618584549,t/ha,None,
B2008-17,B2008-17,Slootdorp,004,"",1220.4,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",7.99,"","",4,"","","",,"","",Open slot injection,24.7459849229761,t/ha,None,
B2008-39,B2008-39,Nagele (NOP),001,"",1319.58,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",3.5,"","",3.277,"","","",7.7,"","",Broadcast,24.7048303248003,t/ha,Shallow,0.1
B2008-39,B2008-39,Nagele (NOP),002,"",1331.4,"","",NL,"","","","","","",sandy loam,"",,"","","","","",pig,"","","",None,"","","",3.5,"","",3.277,"","","",7.7,"","",Broadcast,25.2365930599369,t/ha,Shallow,0.1
B2010-16,B2010-16,Slootdorp,001,"",1257.6,"","",NL,"","","","","","",clay,"",18.2,"","","","","",mineralconcentrate,"","","",None,"","","",4.04,"","",8.068,"","","",8.3,"","",Trailing hose,12.881679389313,t/ha,None,
B2010-16,B2010-16,Slootdorp,002,"",1174.32,"","",NL,"","","","","","",clay,"",17.3,"","","","","",mineralconcentrate,"","","",None,"","","",4.04,"","",8.068,"","","",8.1,"","",Open slot injection,13.2842836705498,t/ha,None,
B2010-16,B2010-16,Slootdorp,003,"",1276.2,"","",NL,"","","","","","",clay,"",20.9,"","","","","",mineralconcentrate,"","","",None,"","","",4.58,"","",8.068,"","","",8.2,"","",Trailing hose,12.6939351198872,t/ha,None,
B2010-16,B2010-16,Slootdorp,004,"",1320.48,"","",NL,"","","","","","",clay,"",20.1,"","","","","",mineralconcentrate,"","","",None,"","","",4.75,"","",8.068,"","","",8.2,"","",Open slot injection,13.782866836302,t/ha,None,
B2010-19,B2010-19,Slootdorp,001,"",1202.1,"","",NL,"","","","","","",clay,"",31.6,"","","","","",mineralconcentrate,"","","",None,"","","",4.22,"","",8.103,"","","",8,"","",Trailing hose,12.1454121953248,t/ha,None,
B2010-19,B2010-19,Slootdorp,002,"",1162.08,"","",NL,"","","","","","",clay,"",26.8,"","","","","",mineralconcentrate,"","","",None,"","","",4.22,"","",8.103,"","","",8.1,"","",Open slot injection,13.5963100647116,t/ha,None,
B2010-19,B2010-19,Slootdorp,003,"",1159.8,"","",NL,"","","","","","",clay,"",32.4,"","","","","",mineralconcentrate,"","","",None,"","","",4.27,"","",8.103,"","","",8,"","",Trailing hose,12.9332643559234,t/ha,None,
B2010-19,B2010-19,Slootdorp,004,"",1055.52,"","",NL,"","","","","","",clay,"",33.5,"","","","","",mineralconcentrate,"","","",None,"","","",4.1,"","",8.103,"","","",8.1,"","",Open slot injection,12.8846445353949,t/ha,None,
B2011-16,B2011-16,Slootdorp,001,"",1471.5,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",9.12,"","",5.46,"","","",7.2,"","",Broadcast,37.6486578321441,t/ha,Shallow,0.1
B2011-16,B2011-16,Slootdorp,002,"",1275.12,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",9.12,"","",5.46,"","","",7.2,"","",Open slot injection,29.1737248258987,t/ha,None,
B2011-16,B2011-16,Slootdorp,003,"",1461.6,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",9.12,"","",5.46,"","","",7.2,"","",Broadcast,29.4198139025725,t/ha,Shallow,0.1
B2011-16,B2011-16,Slootdorp,004,"",1342.32,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",9.12,"","",5.46,"","","",7.2,"","",Open slot injection,29.0541748614339,t/ha,None,
B2011-17,B2011-17,Slootdorp,001,"",1480.95,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.6,"","",5.19,"","","",7.3,"","",Broadcast,29.9807555960701,t/ha,Shallow,0.1
B2011-17,B2011-17,Slootdorp,002,"",1312.08,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.6,"","",5.19,"","","",7.3,"","",Open slot injection,29.5713675995366,t/ha,None,
B2011-17,B2011-17,Slootdorp,003,"",1489.5,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.6,"","",5.19,"","","",7.3,"","",Broadcast,30.2114803625378,t/ha,Shallow,0.1
B2011-17,B2011-17,Slootdorp,004,"",1412.04,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",8.6,"","",5.19,"","","",7.3,"","",Open slot injection,28.4694484575508,t/ha,None,
