project,experiment,field,plot_code,replicate,size,lat,long,country,topo,samp_depth,clay,slit,sand,org,soil_type,soil_water_g,soil_water_v,soil_moist,soil_pH,soil_dens,crop_res,till_before,source,source_det,bedding,consist,man_treatment,man_treat2,man_treat3,stor_days,man_DM,man_VS,man_TN,man_TAN,man_TIC,man_UA,man_VFA,man_pH,app_start,app_end,app_method,app_rate,app_unit,incorp,incorp_time,man_area,inj_dist,fur_depth,fur_width,crop,crop_height
G1989-13,G1989-13,1-Hardenberg,001,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",11.2,"","",3.18,"","","",,"","",Broadcast,17.2,t/ha,None,"","","","","",grass,6
G1989-13,G1989-13,3-Hardenberg,003,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",11.3,"","",3.28,"","","",,"","",Open slot injection,26.8,t/ha,None,"","","","","",grass,6
G1989-15,G1989-15,4-Hardenberg,004,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",11.9,"","",6,"","","",7.1,"","",Broadcast,10,t/ha,None,"","","","","",grass,6
G1989-15,G1989-15,6-Hardenberg,006,"",,"","",NL,"","","","","","",sand,"",,"","","","","",pig,"","","",None,"","","",11,"","",5.82,"","","",7.1,"","",Open slot injection,26,t/ha,None,"","","","","",grass,5.82
G1989-27,G1989-27,8-Swifterbant,008,"",,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",9.3,"","",2.76,"","","",7.3,"","",Open slot injection,14,t/ha,None,"","","","","",grass,6
G1989-28,G1989-28,9-Swifterbant,009,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",10.6,"","",5.38,"","","",7.8,"","",Broadcast,12.7,t/ha,None,"","","","","",grass,6
G1989-28,G1989-28,11-Swifterbant,011,"",,"","",NL,"","","","","","",clay,"",,"","","","","",pig,"","","",None,"","","",10.5,"","",5.34,"","","",7.8,"","",Open slot injection,15.4,t/ha,None,"","","","","",grass,6
G1990-11,G1990-11,18-Duiven,018,"",,"","",NL,"","","","","","",clay,"",37,"","","","","",dairy,"","","",None,"","","",8.54,"","",3.28,"","","",7.6,"","",Broadcast,16.3,t/ha,None,"","","","","",grass,
G1990-11,G1990-11,19-Duiven,019,"",,"","",NL,"","","","","","",clay,"",37,"","","","","",dairy,"","","",None,"","","",8.54,"","",3.28,"","","",7.6,"","",Broadcast,12.5,t/ha,None,"","","","","",grass,
G1990-12,G1990-12,20-Duiven,020,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Broadcast,19.7,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,21-Duiven,021,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Trailing hose,19,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,22-Duiven,022,"",,"","",NL,"","","","","","",clay,"",45,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.2,"","","",7.1,"","",Trailing hose,6.6,t/ha,None,"","","","","",grass,10
G1990-12,G1990-12,23-Duiven,023,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.83,"","",2.23,"","","",7.1,"","",Open slot injection,16.8,t/ha,None,"","","","","",grass,10
G1990-17,G1990-17,111-Zegveld,111,"",,"","",NL,"","","","","","",peat,"",61,"","","","","",dairy,"","","",None,"","","",7.31,"","",2.2,"","","",7.5,"","",Broadcast,10.2,t/ha,None,"","","","","",grass,10
G1990-17,G1990-17,112-Zegveld,112,"",,"","",NL,"","","","","","",peat,"",61,"","","","","",dairy,"","","",None,"","","",7.31,"","",2.2,"","","",7.5,"","",Open slot injection,17.8,t/ha,None,"","","","","",grass,6
G1990-18,G1990-18,24-Zegveld,024,"",,"","",NL,"","","","","","",peat,"",50,"","","","","",dairy,"","","",None,"","","",7.03,"","",2.8,"","","",7.4,"","",Broadcast,8.7,t/ha,None,"","","","","",grass,8
G1990-20,G1990-20,26-Duiven,026,"",,"","",NL,"","","","","","",clay,"",35,"","","","","",dairy,"","","",None,"","","",8.34,"","",2.22,"","","",7.4,"","",Open slot injection,18.8,t/ha,None,"","","","","",grass,8
G1990-20,G1990-20,27-Duiven,027,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",8.34,"","",2.22,"","","",7.4,"","",Trailing hose,8.4,t/ha,None,"","","","","",grass,8
G1990-20,G1990-20,28-Duiven,028,"",,"","",NL,"","","","","","",clay,"",35,"","","","","",dairy,"","","",None,"","","",8.34,"","",2.22,"","","",7.4,"","",Broadcast,16.1,t/ha,None,"","","","","",grass,8
G1990-20,G1990-20,29-Duiven,029,"",,"","",NL,"","","","","","",clay,"",35,"","","","","",dairy,"","","",None,"","","",8.34,"","",2.22,"","","",7.4,"","",Trailing hose,17.3,t/ha,None,"","","","","",grass,8
G1990-22,G1990-22,113-Zegveld,113,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",8.27,"","",2.3,"","","",7.1,"","",Broadcast,9.8,t/ha,None,"","","","","",grass,10
G1990-22,G1990-22,114-Zegveld,114,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",8.27,"","",2.3,"","","",7.1,"","",Open slot injection,18.2,t/ha,None,"","","","","",grass,10
G1990-23,G1990-23,30-Duiven,030,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",pig,"","","",None,"","","",11.3,"","",6.31,"","","",8,"","",Trailing hose,7.9,t/ha,None,"","","","","",grass,8
G1990-23,G1990-23,31-Duiven,031,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",pig,"","","",None,"","","",11.3,"","",6.31,"","","",8,"","",Trailing hose,14.9,t/ha,None,"","","","","",grass,8
G1990-23,G1990-23,32-Duiven,032,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",pig,"","","",None,"","","",11.3,"","",6.31,"","","",8,"","",Broadcast,17.5,t/ha,None,"","","","","",grass,8
G1990-23,G1990-23,33-Duiven,033,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",pig,"","","",None,"","","",11.3,"","",6.31,"","","",8,"","",Open slot injection,17.3,t/ha,None,"","","","","",grass,8
G1990-24,G1990-24,12-Luttenberg,012,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",8.3,"","",2.33,"","","",7.2,"","",Broadcast,9.9,t/ha,None,"","","","","",grass,8
G1990-24,G1990-24,14-Luttenberg,014,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",8.3,"","",2.3,"","","",7.3,"","",Open slot injection,22.2,t/ha,None,"","","","","",grass,8
G1990-24,G1990-24,34-Duiven,034,"",,"","",NL,"","","","","","",clay,"",33,"","","","","",pig,"","","",None,"","","",11.3,"","",6.4,"","","",7.2,"","",Trailing hose,8.8,t/ha,None,"","","","","",grass,5
G1990-24,G1990-24,35-Duiven,035,"",,"","",NL,"","","","","","",clay,"",33,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.3,"","","",7.2,"","",Trailing hose,8.6,t/ha,None,"","","","","",grass,5
G1990-24,G1990-24,36-Duiven,036,"",,"","",NL,"","","","","","",clay,"",33,"","","","","",pig,"","","",None,"","","",11.3,"","",6.4,"","","",7.2,"","",Broadcast,8.6,t/ha,None,"","","","","",grass,5
G1990-24,G1990-24,37-Duiven,037,"",,"","",NL,"","","","","","",clay,"",33,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.3,"","","",7.2,"","",Broadcast,8.3,t/ha,None,"","","","","",grass,5
G1990-25,G1990-25,38-Duiven,038,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.33,"","",2.4,"","","",,"","",Broadcast,8.8,t/ha,None,"","","","","",grass,6
G1990-26,G1990-26,15-Luttenberg,015,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",8.34,"","",2.28,"","","",7.4,"","",Broadcast,9.8,t/ha,None,"","","","","",grass,8
G1990-26,G1990-26,17-Luttenberg,017,"",,"","",NL,"","","","","","",sand,"",,"","","","","",dairy,"","","",None,"","","",8.19,"","",2.4,"","","",7.4,"","",Open slot injection,25,t/ha,None,"","","","","",grass,8
G1990-27,G1990-27,40-Zegveld,040,"",,"","",NL,"","","","","","",peat,"",50,"","","","","",dairy,"","","",None,"","","",5.82,"","",2.23,"","","",7.2,"","",Broadcast,8.7,t/ha,None,"","","","","",grass,9
G1990-29,G1990-29,41-Duiven,041,"",,"","",NL,"","","","","","",clay,"",19,"","","","","",dairy,"","","",None,"","","",7.82,"","",2.3,"","","",,"","",Broadcast,8.7,t/ha,None,"","","","","",grass,7
G1990-30,G1990-30,42-Duiven,042,"",,"","",NL,"","","","","","",clay,"",19,"","","","","",dairy,"","","",None,"","","",7.29,"","",2.18,"","","",7.9,"","",Broadcast,8.6,t/ha,None,"","","","","",grass,8
G1990-31,G1990-31,43-Duiven,043,"",,"","",NL,"","","","","","",clay,"",22,"","","","","",pig,"","","",None,"","","",5.13,"","",3.51,"","","",7.8,"","",Broadcast,8.4,t/ha,None,"","","","","",grass,8
G1990-35,G1990-35,143-Zegveld,143,"",,"","",NL,"","","","","","",peat,"",58,"","","","","",dairy,"","","",None,"","","",7.29,"","",2,"","","",7.1,"","",Broadcast,12.7,t/ha,None,"","","","","",grass,8
G1990-36,G1990-36,115-Zegveld,115,"",,"","",NL,"","","","","","",peat,"",48,"","","","","",dairy,"","","",None,"","","",7.59,"","",2.3,"","","",7.4,"","",Broadcast,9.6,t/ha,None,"","","","","",grass,10
G1990-36,G1990-36,116-Zegveld,116,"",,"","",NL,"","","","","","",peat,"",48,"","","","","",dairy,"","","",None,"","","",7.59,"","",2.3,"","","",7.4,"","",Open slot injection,15.1,t/ha,None,"","","","","",grass,10
G1991-15,G1991-15,44-Duiven,044,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",7.48,"","",1.9,"","","",7.2,"","",Broadcast,15.3,t/ha,None,"","","","","",grass,12
G1991-15,G1991-15,45-Duiven,045,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",7.48,"","",1.9,"","","",7.2,"","",Trailing hose,10.6,t/ha,None,"","","","","",grass,12
G1991-15,G1991-15,46-Duiven,046,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",7.48,"","",1.9,"","","",7.2,"","",Trailing hose,10.7,t/ha,None,"","","","","",grass,6
G1991-15,G1991-15,47-Duiven,047,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",7.48,"","",1.9,"","","",7.2,"","",Broadcast,16.2,t/ha,None,"","","","","",grass,6
G1991-16,G1991-16,48-Duiven,048,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",pig,"","","",None,"","","",8.66,"","",5,"","","",7.3,"","",Broadcast,15.2,t/ha,None,"","","","","",grass,12
G1991-16,G1991-16,49-Duiven,049,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",pig,"","","",None,"","","",8.66,"","",5,"","","",7.3,"","",Trailing hose,10.6,t/ha,None,"","","","","",grass,12
G1991-16,G1991-16,50-Duiven,050,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",pig,"","","",None,"","","",8.66,"","",5,"","","",7.3,"","",Trailing hose,12,t/ha,None,"","","","","",grass,6
G1991-16,G1991-16,51-Duiven,051,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",pig,"","","",None,"","","",8.66,"","",5,"","","",7.3,"","",Broadcast,16.3,t/ha,None,"","","","","",grass,6
G1991-24,G1991-24,52-Duiven,052,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",8.82,"","",1.8,"","","",7.1,"","",Trailing hose,24.6,t/ha,None,"","","","","",grass,6
G1991-24,G1991-24,53-Duiven,053,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",8.82,"","",1.8,"","","",7.1,"","",Broadcast,13,t/ha,None,"","","","","",grass,7
G1991-29,G1991-29,55-Duiven,055,"",,"","",NL,"","","","","","",clay,"",21,"","","","","",dairy,"","","",None,"","","",7.22,"","",1.453,"","","",7,"","",Broadcast,9.8,t/ha,None,"","","","","",grass,6
G1991-30,G1991-30,56-Duiven,056,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",7.8,"","",1.6,"","","",7.1,"","",Broadcast,14,t/ha,None,"","","","","",grass,7
G1991-36,G1991-36,57-Zeewolde,057,"",,"","",NL,"","","","","","",clay,"",14,"","","","","",dairy,"","","",None,"","","",6.02,"","",2.5,"","","",7.6,"","",Broadcast,16.4,t/ha,None,"","","","","",grass,9
G1992-11,G1992-11,58-Duiven,058,"",,"","",NL,"","","","","","",clay,"",39,"","","","","",dairy,"","","",None,"","","",6.64,"","",2.1,"","","",7.4,"","",Broadcast,17.3,t/ha,None,"","","","","",grass,7
G1992-12,G1992-12,59-Duiven,059,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",6.57,"","",2.2,"","","",7.3,"","",Broadcast,17.6,t/ha,None,"","","","","",grass,7
G1992-16,G1992-16,60-Duiven,060,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",6.71,"","",1.8,"","","",6.9,"","",Broadcast,18.7,t/ha,None,"","","","","",grass,6
G1992-16,G1992-16,61-Duiven,061,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",6.71,"","",1.8,"","","",6.9,"","",Open slot injection,19.1,t/ha,None,"","","","","",grass,6
G1992-16,G1992-16,62-Duiven,062,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",6.71,"","",1.8,"","","",6.9,"","",Open slot injection,17.9,t/ha,None,"","","","","",grass,11
G1992-16,G1992-16,63-Duiven,063,"",,"","",NL,"","","","","","",clay,"",40,"","","","","",dairy,"","","",None,"","","",6.71,"","",1.8,"","","",6.9,"","",Open slot injection,19.2,t/ha,None,"","","","","",grass,6
G1992-17,G1992-17,64-Zegveld,064,"",,"","",NL,"","","","","","",peat,"",67,"","","","","",dairy,"","","",None,"","","",7.58,"","",2.6,"","","",7.2,"","",Broadcast,24.9,t/ha,None,"","","","","",grass,6
G1992-17,G1992-17,65-Zegveld,065,"",,"","",NL,"","","","","","",peat,"",67,"","","","","",dairy,"","","",None,"","","",7.58,"","",2.6,"","","",7.2,"","",Trailing hose,13.5,t/ha,None,"","","","","",grass,6
G1992-17,G1992-17,66-Zegveld,066,"",,"","",NL,"","","","","","",peat,"",67,"","","","","",dairy,"","","",None,"","","",7.58,"","",2.6,"","","",7.2,"","",Trailing hose,14,t/ha,None,"","","","","",grass,11
G1992-21,G1992-21,67-Duiven,067,"",,"","",NL,"","","","","","",clay,"",31,"","","","","",dairy,"","","",None,"","","",8.68,"","",2,"","","",6.8,"","",Broadcast,11.6,t/ha,None,"","","","","",grass,8
G1992-25,G1992-25,68-Duiven,068,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",8.43,"","",2,"","","",7.1,"","",Open slot injection,15.6,t/ha,None,"","","","","",grass,7
G1992-25,G1992-25,69-Duiven,069,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",8.43,"","",2,"","","",7.1,"","",Open slot injection,20.6,t/ha,None,"","","","","",grass,7
G1992-25,G1992-25,70-Duiven,070,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",8.43,"","",2,"","","",7.1,"","",Open slot injection,30.8,t/ha,None,"","","","","",grass,7
G1992-25,G1992-25,71-Duiven,071,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",8.43,"","",2,"","","",7.1,"","",Open slot injection,31.3,t/ha,None,"","","","","",grass,7
G1992-26,G1992-26,72-Duiven,072,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.1,"","","",7,"","",Broadcast,13.7,t/ha,None,"","","","","",grass,6
G1992-26,G1992-26,73-Duiven,073,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.1,"","","",7,"","",Trailing hose,15,t/ha,None,"","","","","",grass,6
G1992-26,G1992-26,74-Duiven,074,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.1,"","","",7,"","",Trailing hose,13.6,t/ha,None,"","","","","",grass,6
G1992-26,G1992-26,75-Duiven,075,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.1,"","","",7,"","",Trailing hose,28.1,t/ha,None,"","","","","",grass,6
G1992-26,G1992-26,76-Duiven,076,"",,"","",NL,"","","","","","",clay,"",25,"","","","","",dairy,"","","",None,"","","",8.45,"","",2.1,"","","",7,"","",Trailing hose,27.1,t/ha,None,"","","","","",grass,6
G1992-27,G1992-27,77-Zegveld,077,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",5.62,"","",2.3,"","","",7.6,"","",Broadcast,13.6,t/ha,None,"","","","","",grass,5
G1992-27,G1992-27,78-Zegveld,078,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",5.62,"","",2.3,"","","",7.6,"","",Trailing hose,16.2,t/ha,None,"","","","","",grass,5
G1992-27,G1992-27,79-Zegveld,079,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",5.62,"","",2.3,"","","",7.6,"","",Trailing hose,11.5,t/ha,None,"","","","","",grass,7
G1992-27,G1992-27,80-Zegveld,080,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",5.62,"","",2.3,"","","",7.6,"","",Open slot injection,17.1,t/ha,None,"","","","","",grass,5
G1992-27,G1992-27,81-Zegveld,081,"",,"","",NL,"","","","","","",peat,"",42,"","","","","",dairy,"","","",None,"","","",5.62,"","",2.3,"","","",7.6,"","",Open slot injection,18.9,t/ha,None,"","","","","",grass,5
G1992-28,G1992-28,82-Zegveld,082,"",,"","",NL,"","","","","","",peat,"",50,"","","","","",dairy,"","","",None,"","","",5.41,"","",2.3,"","","",7.2,"","",Broadcast,14.6,t/ha,None,"","","","","",grass,7
G1992-35,G1992-35,83-Zegveld,083,"",,"","",NL,"","","","","","",peat,"",62,"","","","","",dairy,"","","",None,"","","",4.62,"","",2,"","","",7.2,"","",Broadcast,15.5,t/ha,None,"","","","","",grass,8
G1992-38,G1992-38,84-Duiven,084,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",6.92,"","",2,"","","",7.3,"","",Broadcast,16.3,t/ha,None,"","","","","",grass,9
G1992-38,G1992-38,85-Duiven,085,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",6.92,"","",2,"","","",7.3,"","",Open slot injection,25,t/ha,None,"","","","","",grass,9
G1992-38,G1992-38,86-Duiven,086,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",6.92,"","",2,"","","",7.3,"","",Open slot injection,17.8,t/ha,None,"","","","","",grass,9
G1993-10,G1993-10,87-Duiven,087,"",,"","",NL,"","","","","","",clay,"",38,"","","","","",dairy,"","","",None,"","","",8.32,"","",2.2,"","","",6.9,"","",Broadcast,17.9,t/ha,None,"","","","","",grass,4
G1993-10,G1993-10,88-Duiven,088,"",,"","",NL,"","","","","","",clay,"",38,"","","","","",dairy,"","","",None,"","","",8.32,"","",2.2,"","","",6.9,"","",Broadcast,18.5,t/ha,None,"","","","","",grass,4
G1993-11,G1993-11,89-Duiven,089,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Broadcast,15.1,t/ha,None,"","","","","",grass,6
G1993-11,G1993-11,90-Duiven,090,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Broadcast,15.8,t/ha,None,"","","","","",grass,6
G1993-11,G1993-11,91-Duiven,091,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Trailing hose,11.6,t/ha,None,"","","","","",grass,6
G1993-11,G1993-11,92-Duiven,092,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Trailing hose,10,t/ha,None,"","","","","",grass,6
G1993-11,G1993-11,93-Duiven,093,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Trailing hose,10.4,t/ha,None,"","","","","",grass,6
G1993-11,G1993-11,94-Duiven,094,"",,"","",NL,"","","","","","",clay,"",34,"","","","","",dairy,"","","",None,"","","",8.94,"","",2.1,"","","",6.9,"","",Trailing hose,10.3,t/ha,None,"","","","","",grass,6
G1993-12,G1993-12,95-Duiven,095,"",,"","",NL,"","","","","","",clay,"",33,"","","","","",dairy,"","","",None,"","","",8.27,"","",2.1,"","","",6.9,"","",Broadcast,19.4,t/ha,None,"","","","","",grass,5
G1993-12,G1993-12,96-Duiven,096,"",,"","",NL,"","","","","","",clay,"",41,"","","","","",dairy,"","","",None,"","","",8.27,"","",2.1,"","","",6.9,"","",Broadcast,19,t/ha,None,"","","","","",grass,7
G1993-18,G1993-18,97-Duiven,097,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",5.2,"","",1.6,"","","",7.6,"","",Open slot injection,18.5,t/ha,None,"","","","","",grass,7
G1993-18,G1993-18,98-Duiven,098,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",5.2,"","",1.6,"","","",7.6,"","",Open slot injection,17.5,t/ha,None,"","","","","",grass,7
G1993-18,G1993-18,99-Duiven,099,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",5.2,"","",1.6,"","","",7.6,"","",Open slot injection,17.8,t/ha,None,"","","","","",grass,7
G1993-18,G1993-18,100-Duiven,100,"",,"","",NL,"","","","","","",clay,"",29,"","","","","",dairy,"","","",None,"","","",5.2,"","",1.6,"","","",7.6,"","",Open slot injection,20.8,t/ha,None,"","","","","",grass,7
G1993-21,G1993-21,101-Duiven,101,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,20.2,t/ha,None,"","","","","",grass,8
G1993-21,G1993-21,102-Duiven,102,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,19.5,t/ha,None,"","","","","",grass,8
G1993-21,G1993-21,103-Duiven,103,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,19.8,t/ha,None,"","","","","",grass,8
G1993-21,G1993-21,104-Duiven,104,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,32.7,t/ha,None,"","","","","",grass,8
G1993-21,G1993-21,105-Duiven,105,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,45.5,t/ha,None,"","","","","",grass,8
G1993-21,G1993-21,106-Duiven,106,"",,"","",NL,"","","","","","",clay,"",24,"","","","","",dairy,"","","",None,"","","",8.15,"","",2,"","","",6.8,"","",Open slot injection,44.2,t/ha,None,"","","","","",grass,8
