project,experiment,field,plot_code,replicate,size,lat,long,country,topo,samp_depth,clay,slit,sand,org,soil_type,soil_water_g,soil_water_v,soil_moist,soil_pH,soil_dens,crop_res,till_before,source,source_det,bedding,consist,man_treatment,man_treat2,man_treat3,stor_days,man_DM,man_VS,man_TN,man_TAN,man_TIC,man_UA,man_VFA,man_pH,app_start,app_end,app_method,app_rate,app_unit,incorp,incorp_time,man_area,inj_dist,fur_depth,fur_width,crop,crop_height
G1993-22,G1993-22,107-Duiven,107,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",7.04,"","",2,"","","",7.2,"","",Trailing hose,14.4,t/ha,None,"","","","","",grass,9
G1993-22,G1993-22,108-Duiven,108,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",7.04,"","",2,"","","",7.2,"","",Trailing hose,15.7,t/ha,None,"","","","","",grass,9
G1993-22,G1993-22,109-Duiven,109,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",7.04,"","",2,"","","",7.2,"","",Trailing hose,14.8,t/ha,None,"","","","","",grass,9
G1993-22,G1993-22,110-Duiven,110,"",,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",7.04,"","",2,"","","",7.2,"","",Trailing hose,15.5,t/ha,None,"","","","","",grass,9
G2005-29,G2005-29,400-Zegveld,400,"",,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",4.7,"","",1.56,"","","",7.2,"","",Trailing hose,16,t/ha,None,"","","","","",grass,
G1997-24,G1997-24,200-Zegveld,001,"",1768.08,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",2.04,"","","",6.8,"","",Broadcast,12.1035247273879,t/ha,None,"","","","","",grass,9.2
G1997-24,G1997-24,201-Zegveld,002,"",1715.49,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.98,"","","",6.9,"","",Broadcast,20.8103807075529,t/ha,None,"","","","","",grass,9.4
G1997-24,G1997-24,202-Zegveld,004,"",1195.92,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.4,"","",2.12,"","","",6.7,"","",Open slot injection,15.3856445247174,t/ha,None,"","","","","",grass,9
G1997-25,G1997-25,203-Zegveld,002,"",1846.05,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.1,"","",2.3,"","","",7.1,"","",Broadcast,20.8011700658162,t/ha,None,"","","","","",grass,6.7
G1997-25,G1997-25,204-Zegveld,004,"",1137.6,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.3,"","",2.2,"","","",7,"","",Open slot injection,20.1300984528833,t/ha,None,"","","","","",grass,6.2
G1997-26,G1997-26,205-Duiven,001,"",1532.08,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.8,"","",1.99,"","","",7.1,"","",Broadcast,12.4667119210485,t/ha,None,"","","","","",grass,9.4
G1997-26,G1997-26,206-Duiven,002,"",1554.3,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.5,"","",2,"","","",7.1,"","",Broadcast,19.365630830599,t/ha,None,"","","","","",grass,10
G1997-26,G1997-26,207-Duiven,004,"",1706.24,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.5,"","",1.99,"","","",7,"","",Open slot injection,24.1466616654164,t/ha,None,"","","","","",grass,6.3
G1997-28,G1997-28,208-Duiven,001,"",1452.854,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.4,"","",1.75,"","","",7.1,"","",Broadcast,16.6568698575356,t/ha,None,"","","","","",grass,6
G1997-28,G1997-28,209-Duiven,002,"",1469.289,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.4,"","",1.73,"","","",7.1,"","",Broadcast,20.0641262542631,t/ha,None,"","","","","",grass,6.8
G1997-28,G1997-28,210-Duiven,004,"",1632.64,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.3,"","",1.73,"","","",7,"","",Open slot injection,24.3164445315563,t/ha,None,"","","","","",grass,6.4
G1997-29,G1997-29,211-Duiven,001,"",1505.7,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.94,"","","",7.4,"","",Broadcast,16.4176130703327,t/ha,None,"","","","","",grass,7.5
G1997-29,G1997-29,212-Duiven,002,"",1564.828,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.93,"","","",7.3,"","",Broadcast,19.8616077933166,t/ha,None,"","","","","",grass,7.6
G1997-29,G1997-29,213-Duiven,004,"",1819.52,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.1,"","",1.93,"","","",7.3,"","",Open slot injection,20.5548716144917,t/ha,None,"","","","","",grass,7
G1997-30,G1997-30,214-Zegveld,001,"",1644.75,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",6.5,"","",1.51,"","","",6.9,"","",Broadcast,15.1390788873689,t/ha,None,"","","","","",grass,5.2
G1997-30,G1997-30,215-Zegveld,002,"",1841.28,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",6.7,"","",1.54,"","","",6.9,"","",Broadcast,19.3886861313869,t/ha,None,"","","","","",grass,8.3
G1997-30,G1997-30,216-Zegveld,004,"",975.6,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.68,"","","",6.8,"","",Open slot injection,31.570315703157,t/ha,None,"","","","","",grass,7.2
G1997-31,G1997-31,217-Zegveld,001,"",1241.2716,"","",NL,"","","","","","",peat,"",13.1,"","","","","",dairy,"","","",None,"","","",7,"","",1.68,"","","",6.9,"","",Broadcast,14.2595705887414,t/ha,None,"","","","","",grass,8
G1997-31,G1997-31,218-Zegveld,002,"",1663.749,"","",NL,"","","","","","",peat,"",14,"","","","","",dairy,"","","",None,"","","",7,"","",1.7,"","","",6.9,"","",Broadcast,22.1187210330404,t/ha,None,"","","","","",grass,6.8
G1997-31,G1997-31,219-Zegveld,004,"",1422.6,"","",NL,"","","","","","",peat,"",,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.67,"","","",6.9,"","",Open slot injection,34.4439758189231,t/ha,None,"","","","","",grass,6.3
G1997-33,G1997-33,220-Duiven,001,"",1540.311,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.4,"","",1.79,"","","",7.4,"","",Broadcast,15.5812689774987,t/ha,None,"","","","","",grass,7.2
G1997-33,G1997-33,221-Duiven,002,"",1531.348,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.6,"","",1.77,"","","",7.4,"","",Broadcast,19.3293751648874,t/ha,None,"","","","","",grass,6.8
G1997-33,G1997-33,222-Duiven,004,"",1956.48,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",6.7,"","",1.78,"","","",7.3,"","",Open slot injection,21.6204612365064,t/ha,None,"","","","","",grass,6.3
G1998-28,G1998-28,223-Duiven,001,"",2236.192,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.2,"","",2.535,"","","",7.25,"","",Broadcast,13.3172822369457,t/ha,None,"","","","","",grass,8.7
G1998-28,G1998-28,224-Duiven,002,"",2044.178,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",7.3,"","",2.555,"","","",7.15,"","",Broadcast,14.2551186834023,t/ha,None,"","","","","",grass,7.5
G1998-28,G1998-28,225-Duiven,003,"",2395.98,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",10.2,"","",2.375,"","","",6.9,"","",Broadcast,13.1971051511281,t/ha,None,"","","","","",grass,8.4
G1998-28,G1998-28,226-Duiven,004,"",2250.64,"","",NL,"","","","","","",clay,"",,"","","","","",dairy,"","","",None,"","","",10.7,"","",2.355,"","","",6.85,"","",Broadcast,13.4717235986208,t/ha,None,"","","","","",grass,8.6
G1998-30,G1998-30,227-Duiven,001,"",2130.048,"","",NL,"","","","","","",clay,"",36.9,"","","","","",dairy,"","","",None,"","","",10.3,"","",2.43,"","","",7.25,"","",Broadcast,12.4785920317289,t/ha,None,"","","","","",grass,9.3
G1998-30,G1998-30,228-Duiven,002,"",2163.862,"","",NL,"","","","","","",clay,"",37,"","","","","",dairy,"","","",None,"","","",10.7,"","",2.395,"","","",7.2,"","",Broadcast,12.2004083439702,t/ha,None,"","","","","",grass,10
G1998-30,G1998-30,229-Duiven,003,"",2113.176,"","",NL,"","","","","","",clay,"",40.2,"","","","","",dairy,"","","",None,"","","",11.2,"","",2.325,"","","",7.1,"","",Broadcast,13.1176958284592,t/ha,None,"","","","","",grass,9.5
G1998-30,G1998-30,230-Duiven,004,"",2288.904,"","",NL,"","","","","","",clay,"",41.2,"","","","","",dairy,"","","",None,"","","",11.1,"","",2.375,"","","",7.2,"","",Broadcast,12.1805021093065,t/ha,None,"","","","","",grass,10.4
G1998-32,G1998-32,231-Duiven,001,"",2360.94,"","",NL,"","","","","","",clay,"",26.1,"","","","","",dairy,"","","",None,"","","",11.1,"","",2.285,"","","",6.95,"","",Broadcast,12.7406880310385,t/ha,None,"","","","","",grass,7.6
G1998-32,G1998-32,232-Duiven,002,"",2131.08,"","",NL,"","","","","","",clay,"",28,"","","","","",dairy,"","","",None,"","","",10.8,"","",2.34,"","","",7,"","",Broadcast,13.0637986373107,t/ha,None,"","","","","",grass,7.5
G1998-32,G1998-32,233-Duiven,003,"",2365.74,"","",NL,"","","","","","",clay,"",27.8,"","","","","",dairy,"","","",None,"","","",11,"","",2.32,"","","",7,"","",Broadcast,12.4696712233804,t/ha,None,"","","","","",grass,7.6
G1998-32,G1998-32,234-Duiven,004,"",2156.88,"","",NL,"","","","","","",clay,"",26.3,"","","","","",dairy,"","","",None,"","","",10.6,"","",2.36,"","","",7,"","",Broadcast,13.0373502466526,t/ha,None,"","","","","",grass,7.2
G1999-19,G1999-19,235-Hengelo (gld),001,"",1720.96,"","",NL,"","","","","","",sand,"",21.9,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.883,"","","",7.07,"","",Open slot injection,12.0281703235403,t/ha,None,"","","","","",grass,9.8
G1999-19,G1999-19,236-Hengelo (gld),002,"",1719.36,"","",NL,"","","","","","",sand,"",25.8,"","","","","",dairy,"","","",None,"","","",7.2,"","",1.883,"","","",7.07,"","",Open slot injection,24.9511446119486,t/ha,None,"","","","","",grass,10
G1999-19,G1999-19,237-Duiven,003,"",1766.39,"","",NL,"","","","","","",clay,"",36.4,"","","","","",dairy,"","","",None,"","","",8.7,"","",1.83,"","","",7.07,"","",Open slot injection,16.3157626571708,t/ha,None,"","","","","",grass,10.7
G1999-19,G1999-19,238-Duiven,004,"",1791.36,"","",NL,"","","","","","",clay,"",34.2,"","","","","",dairy,"","","",None,"","","",9.3,"","",1.83,"","","",7,"","",Open slot injection,27.6103072525902,t/ha,None,"","","","","",grass,10.4
G1999-19,G1999-19,239-Duiven,005,"",1653.76,"","",NL,"","","","","","",clay,"",35.1,"","","","","",dairy,"","","",None,"","","",9.3,"","",1.76,"","","",7,"","",Open slot injection,38.3610681114551,t/ha,None,"","","","","",grass,11.1
G1999-20,G1999-20,242-Duiven,003,"",1705.6,"","",NL,"","","","","","",clay,"",47.8,"","","","","",dairy,"","","",None,"","","",9.9,"","",1.887,"","","",6.8,"","",Open slot injection,13.625703564728,t/ha,None,"","","","","",grass,10.3
G1999-20,G1999-20,243-Duiven,004,"",1706.24,"","",NL,"","","","","","",clay,"",48.8,"","","","","",dairy,"","","",None,"","","",9.9,"","",1.887,"","","",6.8,"","",Open slot injection,29.6792948237059,t/ha,None,"","","","","",grass,10.3
G1999-20,G1999-20,244-Duiven,005,"",1713.92,"","",NL,"","","","","","",clay,"",50.3,"","","","","",dairy,"","","",None,"","","",9.8,"","",1.885,"","","",6.8,"","",Open slot injection,38.8232823002241,t/ha,None,"","","","","",grass,9.7
G1999-22,G1999-22,240-Hengelo (gld),001,"",1638.72,"","",NL,"","","","","","",sand,"",23.3,"","","","","",dairy,"","","",None,"","","",7.1,"","",1.93,"","","",7.4,"","",Open slot injection,14.7066002733841,t/ha,None,"","","","","",grass,9.1
G1999-22,G1999-22,241-Hengelo (gld),002,"",1654.4,"","",NL,"","","","","","",sand,"",28.8,"","","","","",dairy,"","","",None,"","","",7.1,"","",1.93,"","","",7.4,"","",Open slot injection,26.7166344294004,t/ha,None,"","","","","",grass,9.6
G1999-26,G1999-26,245-Hengelo (gld),001,"",1655.68,"","",NL,"","","","","","",sand,"",19.4,"","","","","",dairy,"","","",None,"","","",6.8,"","",1.913,"","","",7.3,"","",Open slot injection,14.1935639737147,t/ha,None,"","","","","",grass,8.1
G1999-26,G1999-26,246-Hengelo (gld),002,"",1623.68,"","",NL,"","","","","","",sand,"",19.9,"","","","","",dairy,"","","",None,"","","",6.8,"","",1.913,"","","",7.3,"","",Open slot injection,26.4830508474576,t/ha,None,"","","","","",grass,7.5
G1999-27,G1999-27,247-Hengelo (gld),001,"",1658.88,"","",NL,"","","","","","",sand,"",30.2,"","","","","",dairy,"","","",None,"","","",6.7,"","",1.92,"","","",7.5,"","",Open slot injection,14.2264660493827,t/ha,None,"","","","","",grass,14.1
G1999-27,G1999-27,248-Hengelo (gld),002,"",1641.6,"","",NL,"","","","","","",sand,"",31.8,"","","","","",dairy,"","","",None,"","","",6.7,"","",1.92,"","","",7.5,"","",Open slot injection,26.3767056530214,t/ha,None,"","","","","",grass,12.4
G1999-27,G1999-27,249-Duiven,003,"",1708.8,"","",NL,"","","","","","",clay,"",44.5,"","","","","",dairy,"","","",None,"","","",8.2,"","",2.11,"","","",7.1,"","",Open slot injection,14.6184456928839,t/ha,None,"","","","","",grass,10
G1999-27,G1999-27,250-Duiven,004,"",1677.44,"","",NL,"","","","","","",clay,"",41.2,"","","","","",dairy,"","","",None,"","","",8.2,"","",2.11,"","","",7.1,"","",Open slot injection,28.2096528042732,t/ha,None,"","","","","",grass,9.4
G1999-27,G1999-27,251-Duiven,005,"",1705.92,"","",NL,"","","","","","",clay,"",41.8,"","","","","",dairy,"","","",None,"","","",8.4,"","",2.1,"","","",7.1,"","",Open slot injection,37.1646970549615,t/ha,None,"","","","","",grass,8.9
G1999-30,G1999-30,252-Hengelo (gld),001,"",1662.08,"","",NL,"","","","","","",sand,"",18.1,"","","","","",dairy,"","","",None,"","","",8.3,"","",1.99,"","","",7.8,"","",Open slot injection,13.5372545244513,t/ha,None,"","","","","",grass,8.1
G1999-30,G1999-30,253-Hengelo (gld),002,"",1657.6,"","",NL,"","","","","","",sand,"",16.8,"","","","","",dairy,"","","",None,"","","",8.3,"","",1.99,"","","",7.8,"","",Open slot injection,25.5188223938224,t/ha,None,"","","","","",grass,7.4
G1999-30,G1999-30,254-Duiven,003,"",1656.32,"","",NL,"","","","","","",clay,"",19,"","","","","",dairy,"","","",None,"","","",8.8,"","",2.09,"","","",7.4,"","",Open slot injection,14.9971020092736,t/ha,None,"","","","","",grass,7.3
G1999-30,G1999-30,255-Duiven,004,"",1639.68,"","",NL,"","","","","","",clay,"",19.5,"","","","","",dairy,"","","",None,"","","",8.8,"","",2.09,"","","",7.4,"","",Open slot injection,27.9078844652615,t/ha,None,"","","","","",grass,9
G1999-30,G1999-30,256-Duiven,005,"",1637.12,"","",NL,"","","","","","",clay,"",17.9,"","","","","",dairy,"","","",None,"","","",8.8,"","",2.09,"","","",7.4,"","",Open slot injection,37.2361219702893,t/ha,None,"","","","","",grass,8.2
G1999-35,G1999-35,257-Hengelo (gld),001,"",1656.32,"","",NL,"","","","","","",sand,"",13.1,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.767,"","","",7.4,"","",Open slot injection,14.0673299845441,t/ha,None,"","","","","",grass,7.8
G1999-35,G1999-35,258-Hengelo (gld),002,"",1652.48,"","",NL,"","","","","","",sand,"",14,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.767,"","","",7.4,"","",Open slot injection,26.1425251742835,t/ha,None,"","","","","",grass,9.8
G2000-08,G2000-08,259-Hengelo (gld),001,"",1661.44,"","",NL,"","","","","","",sand,"",23.2,"","","","","",dairy,"","","",None,"","","",7.6,"","",1.88,"","","",7.4,"","",Open slot injection,13.1813366718028,t/ha,None,"","","","","",grass,4.8
G2000-08,G2000-08,260-Hengelo (gld),002,"",1644.734,"","",NL,"","","","","","",sand,"",26.3,"","","","","",dairy,"","","",None,"","","",7.6,"","",1.88,"","","",7.4,"","",Open slot injection,25.5968442313468,t/ha,None,"","","","","",grass,5.1
G2000-08,G2000-08,261-Duiven,003,"",1675.7,"","",NL,"","","","","","",clay,"",42.5,"","","","","",dairy,"","","",None,"","","",9.7,"","",2.24,"","","",7.6,"","",Open slot injection,35.5552903264307,t/ha,None,"","","","","",grass,6.7
G2000-08,G2000-08,262-Duiven,004,"",1628.16,"","",NL,"","","","","","",clay,"",38.3,"","","","","",dairy,"","","",None,"","","",9.7,"","",2.22,"","","",7.6,"","",Open slot injection,18.6345322327044,t/ha,None,"","","","","",grass,6.6
G2000-08,G2000-08,263-Duiven,005,"",1603.84,"","",NL,"","","","","","",clay,"",40.9,"","","","","",dairy,"","","",None,"","","",9.7,"","",2.22,"","","",7.6,"","",Open slot injection,16.2110933758978,t/ha,None,"","","","","",grass,5.9
G2000-09,G2000-09,264-Hengelo (gld),001,"",1651.84,"","",NL,"","","","","","",sand,"",24.5,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.86,"","","",7.2,"","",Open slot injection,12.7736342502906,t/ha,None,"","","","","",grass,4.8
G2000-09,G2000-09,265-Hengelo (gld),002,"",1661.933,"","",NL,"","","","","","",sand,"",23.7,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.86,"","","",7.2,"","",Open slot injection,24.8505806190743,t/ha,None,"","","","","",grass,5.5
G2000-11,G2000-11,266-Hengelo (gld),001,"",1637.76,"","",NL,"","","","","","",sand,"",24.5,"","","","","",dairy,"","","",None,"","","",7.4,"","",1.88,"","","",7.3,"","",Open slot injection,10.3800312622118,t/ha,None,"","","","","",grass,7.1
G2000-11,G2000-11,267-Hengelo (gld),002,"",1624.35,"","",NL,"","","","","","",sand,"",23.7,"","","","","",dairy,"","","",None,"","","",7.4,"","",1.88,"","","",7.3,"","",Open slot injection,25.9180595315049,t/ha,None,"","","","","",grass,6.1
G2000-12,G2000-12,268-Hengelo (gld),001,"",1650.302,"","",NL,"","","","","","",sand,"",19.5,"","","","","",dairy,"","","",None,"","","",7.6,"","",1.89,"","","",7.5,"","",Open slot injection,14.2398179242345,t/ha,None,"","","","","",grass,5.7
G2000-12,G2000-12,269-Hengelo (gld),002,"",1678.9764,"","",NL,"","","","","","",sand,"",21.1,"","","","","",dairy,"","","",None,"","","",7.6,"","",1.89,"","","",7.5,"","",Open slot injection,26.5042438952686,t/ha,None,"","","","","",grass,5.2
G2000-12,G2000-12,270-Duiven,003,"",1698.872,"","",NL,"","","","","","",clay,"",40.1,"","","","","",dairy,"","","",None,"","","",9.5,"","",2.3,"","","",7.6,"","",Open slot injection,27.6771881577894,t/ha,None,"","","","","",grass,8.5
G2000-12,G2000-12,271-Duiven,004,"",1720.062,"","",NL,"","","","","","",clay,"",43.3,"","","","","",dairy,"","","",None,"","","",9.5,"","",2.3,"","","",7.6,"","",Open slot injection,15.0227142975079,t/ha,None,"","","","","",grass,8
G2000-12,G2000-12,272-Duiven,005,"",1724.9256,"","",NL,"","","","","","",clay,"",41.7,"","","","","",dairy,"","","",None,"","","",9.6,"","",2.3,"","","",7.6,"","",Open slot injection,38.4712244980305,t/ha,None,"","","","","",grass,9
G2000-19,G2000-19,273-Hengelo (gld),001,"",1661.226,"","",NL,"","","","","","",sand,"",17.5,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.887,"","","",7.5,"","",Open slot injection,13.3034277094146,t/ha,None,"","","","","",grass,7.9
G2000-19,G2000-19,274-Hengelo (gld),002,"",1651.3632,"","",NL,"","","","","","",sand,"",14.1,"","","","","",dairy,"","","",None,"","","",7.3,"","",1.887,"","","",7.5,"","",Open slot injection,24.8279724290816,t/ha,None,"","","","","",grass,7.7
G2000-19,G2000-19,275-Duiven,003,"",1625.3076,"","",NL,"","","","","","",clay,"",31.3,"","","","","",dairy,"","","",None,"","","",9,"","",2.15,"","","",7.7,"","",Open slot injection,25.0168029731726,t/ha,None,"","","","","",grass,
G2000-19,G2000-19,276-Duiven,004,"",1601.3283,"","",NL,"","","","","","",clay,"",27.5,"","","","","",dairy,"","","",None,"","","",9,"","",2.15,"","","",7.7,"","",Open slot injection,13.2265195088353,t/ha,None,"","","","","",grass,
G2000-19,G2000-19,277-Duiven,005,"",1644.16,"","",NL,"","","","","","",clay,"",28.2,"","","","","",dairy,"","","",None,"","","",9.3,"","",2.19,"","","",7.7,"","",Open slot injection,34.9601012066952,t/ha,None,"","","","","",grass,
G2002-10,G2002-10,278-Gorssel,001,"",2026.35,"","",NL,"","","","","","",sand,"",24.4,"","","","","",dairy,"","","",None,"","","",7.7,"","",1.84,"","","",,"","",Open slot injection,22.70091543909,t/ha,None,"","","","","",grass,6.4
G2002-10,G2002-10,279-Gorssel,002,"",2071.8,"","",NL,"","","","","","",sand,"",27,"","","","","",dairy,"","","",None,"","","",7.7,"","",1.92,"","","",,"","",Open slot injection,22.6614538082827,t/ha,None,"","","","","",grass,6.5
G2002-23,G2002-23,280-Waardenburg,001,"",1634.56,"","",NL,"","","","","","",clay,"",31.1,"","","","","",dairy,"","","",None,"","","",9.9,"","",2.057,"","","",7.2,"","",Open slot injection,14.9275646045419,t/ha,None,"","","","","",grass,12.7
G2002-23,G2002-23,281-Waardenburg,002,"",1599.36,"","",NL,"","","","","","",clay,"",29.5,"","","","","",dairy,"","","",None,"","","",9.9,"","",2.057,"","","",7.2,"","",Open slot injection,14.5058023209284,t/ha,None,"","","","","",grass,12.9
G2003-10,G2003-10,282-Surhuisterveen,001,"",1548.448,"","",NL,"","","","","","",clay,"",22.2,"","","","","",dairy,"","","",None,"","","",6.6,"","",3.17,"","","",7.9,"","",Broadcast,20.2783690508173,t/ha,None,"","","","","",grass,4.2
G2003-10,G2003-10,283-Surhuisterveen,003,"",1472.8771,"","",NL,"","","","","","",clay,"",23.7,"","","","","",dairy,"","","",None,"","","",7.8,"","",1.52,"","","",7.7,"","",Broadcast,19.4177776272032,t/ha,None,"","","","","",grass,4
G2003-10,G2003-10,284-Surhuisterveen,004,"",1458.7872,"","",NL,"","","","","","",clay,"",30.4,"","","","","",dairy,"","","",None,"","","",7.7,"","",1.51,"","","",7.9,"","",Broadcast,17.1375235538124,t/ha,None,"","","","","",grass,5
G2003-11,G2003-11,285-Surhuisterveen,001,"",1968.897,"","",NL,"","","","","","",clay,"",25.5,"","","","","",dairy,"","","",None,"","","",7.7,"","",1.49,"","","",7.5,"","",Broadcast,19.401725940971,t/ha,None,"","","","","",grass,4.1
G2003-11,G2003-11,286-Surhuisterveen,002,"",1595.4922,"","",NL,"","","","","","",clay,"",25.2,"","","","","",dairy,"","","",None,"","","",6.5,"","",3.08,"","","",7.9,"","",Broadcast,20.181859867444,t/ha,None,"","","","","",grass,5.1
G2003-11,G2003-11,287-Surhuisterveen,003,"",1565.414,"","",NL,"","","","","","",clay,"",24.2,"","","","","",dairy,"","","",None,"","","",7.6,"","",1.475,"","","",7.5,"","",Broadcast,19.164259422747,t/ha,None,"","","","","",grass,4.9
G2003-11,G2003-11,288-Surhuisterveen,004,"",1946.637,"","",NL,"","","","","","",clay,"",32.6,"","","","","",dairy,"","","",None,"","","",6.6,"","",3.05,"","","",7.9,"","",Broadcast,19.0071389786591,t/ha,None,"","","","","",grass,3.7
